"Crude oil production, total (toe)";1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
"Abkhazia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Afghanistan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Akrotiri and Dhekelia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Albania";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Algeria";26481000;33872000;39076000;42904000;44784000;48208000;37099000;50098000;50888000;47355000;45754000;50602000;54054000;57737000;57550000;51750000;46830000;46847000;45866000;49472000;49997000;51796000;52639000;53569000;54656000;57477000;57679999,9999999;56630000;56670000;56378000;56596000;59342000;60326000;61779000;63930000;66787000;65751000;70893999,9999999;79005000;83551000;86437670;86202000;86482000;85620176,3264181;77846911,8397909;75501136,0201511;74311461,4609571
"American Samoa";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Andorra";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Angola";655000;631000;537000;750000;2458000;5065000;5721000;7057000;8175000;8541000;7791000;7564000;7062000;6469000;7200000;7428000;7158000;6410000;8790000;10074000;11452000;13926000;17506000;22320000;22642000;23380000;24514000;27153000;24810000;27424000;31173000;35364000;36500000;36000000;36700000;36850000;36550000;44600000;42832728,7452766;54464208,0971659;69039863,2928475;69636345,9973009;82529385,1583445;93478517,6673245;89062415,6545209;91973211,8758434;85242442,6450742
"Anguilla";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Antigua and Barbuda";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Argentina";13764758,6206896;14643965,5172413;15962275,8620689;17487586,2068965;18106758,6206896;20000517,2413793;21570862,0689655;22218034,4827586;21601172,4137931;21144758,6206896;20260551,7241379;20414137,9310344;22061965,5172413;23209862,0689655;24278103,4482758;25267034,4827586;25736379,3103448;25571310,3448275;25667310,3448275;25141758,6206896;24158620,6896551;22868655,1724138;22572586,2068965;23719758,6206896;24229965,5172413;25436551,7241379;25882000;29040448,275862;31067827,5862069;34511000;37456931,0344827;40816000;43385586,2068965;44028068,9655172;41819206,8965517;40434724,137931;41537000;40901517,2413793;40243000;37788862,0689655;36242271,9332805;35767237,6030355;34943078,3122024;34123831,9513322;33776045,02689;32549586,7244194;30285118,2653465
"Armenia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Aruba";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Australia";346205,96205962;445121,95121951;1038617,88617886;1934146,34146341;2225609,75609756;8704607,04607046;15255403,7005887;16280005,6069526;20394430,4270628;20178605,9714045;21621841,41669;22140930,7541351;23424755,8639379;23190853,6585365;23276296,6077936;21838752,4530417;21271030,7447902;20974282,7773105;20416771,7970283;26683010,9335576;30846030,2775441;27577607,2329688;29282304,9247733;27780309,7841323;26203237,7815157;30358272,1241005;28735248,3412765;28268874,1239136;26397488,3188487;28385512,1016727;26683730,7261003;28218767,5918138;30059238,8561816;28607817,2600691;27837636,9030931;37488809,2381327;34526994,2982236;34307550,0379746;29707666,7177477;25920027,9126502;25584379,1656777;23799354,1913692;24706645,665969;24356721,6877305;22575003,9439325;24627235,1877633;21046398,7882733
"Austria";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Azerbaijan";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13230000;13050000;13910000;13740000;13160000;12500000;11773700;11195700;10251300;9562800;9161700;9100400;9027000;11449000;13851000;14069000;14979000;15429000;15526000;15641000;22399600;32468100;42784100;44748499,9999999;50629100;50838200;45610500
"Bahamas";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bahrain";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bangladesh";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Barbados";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Belarus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Belgium";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Belize";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Benin";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bermuda";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bhutan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bolivia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bosnia and Herzegovina";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Botswana";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Brazil";5033297,31355253;6147396,15076183;7738965,91820369;8504936,0064154;9277483,36006415;8800012,4298316;9202844,22614274;9015266,80032077;9149791,90056135;9521158,17963112;9323862,06896552;9083418,5244587;8740286,48757017;8687234,16198877;9005548,11547715;9881383,64073777;11530472,9350441;14055397,754611;17837026,0625501;24917893,4242181;29422190,457097;30963912,9911788;30776495,5894145;30091187,4899759;32152650,9623095;34094000,2004811;33701047,1130713;34170429,1900561;34778455,6936647;36240694,8676824;37567003,0072173;42447811,2269446;45503265,0360866;52622155,3728949;59479369,6872494;66770624,4587008;70107762,8307939;78604374,4987971;81347918,8051323;80781086,8484362;89325722,5514119;94202443,0850437;95499749,331904;99242816,518551;106040479,852384;111706749,760702;114553898,17743
"British Virgin Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Brunei";3964974,11444142;4760614,44141689;5158434,60490463;6070114,98637602;6152985,01362398;6749715,25885559;6401622,61580381;9061940,59945504;11434147,1389645;9740228,88283379;9166771,11716621;10621479,5640327;11102961,852861;11736192,0980926;12740787,46594;11715291,0081743;8464220,70844687;8676358,3106267;8676358,3106267;8351082,83378747;8102900,54495913;7993400,54495913;7496125,34059946;7254080,10899183;7221032,69754768;7320487,73841962;7930445,50408719;8849720,4359673;8464220,70844687;8663130,79019074;8464220,70844687;8015300,27247956;7893945,50408719;7595580,38147139;8851995,91280654;9424749,31880109;9896273,84196185;10244366,4850136;10456504,0871934;10274533,1836127;10055538,3448437;10769212,8306092;9461267,61590804;8526874,07402935;8190949,14037957;8394330,42462691;8073609,84921871
"Bulgaria";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burkina Faso";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burundi";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cambodia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cameroon";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Canada";43874177,6660381;48212154,1514154;52701139,99088;57119336,1693767;62218043,3010751;70067889,1194929;75163773,186789;86713147,2853501;100314611,767575;94386547,7857137;81575800,3986795;75304625,8778941;75574321,4548031;75189874,9863651;86274567,4426698;83269484,9154236;75361602,8998351;74564140,1176172;78560493,0113362;83815669,4179121;85685227,4144918;85736020,9382032;90294386,2743724;95094967,5550948;92620480,9026277;92757850,3182828;93214508,2867213;97159778,2461028;102281144,872546;106692146,25622;111906322,764769;115453527,346727;120704141,79946;125087903,927526;120996749,265925;126951012,254636;126077512,961979;134995722,172045;142636369,399091;147570960,021827;144925244,888079;153351127,072279;158581876,426756;155900148,191845;156064379,212295;164368924,54067;172629141,459453
"Cape Verde";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cayman Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Central African Republic";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Chad";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1237410,07194245;8834532,37410072;9107913,66906475;8043165,4676259;7539568,34532374;6690647,48201439;6187050,35971223;6402877,69784173;5971223,02158273
"Channel Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Chile";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"China";11310000;14550000;13880000;15990000;21740000;30650000;39410000;45670000;53610000;64849999,9999999;77060000;87160000;93640000;104050000;106150000;105950000;101220000;102120000;106070000;114610000;124900000;130690000;134140000;137050000;137640000;138310000;140990000;142039999,999999;144030000;146080000;149020000;158520000;160130000;160180000;160220000;162620000;164830000;166866000;169585000;174051000;181352900;184765700;186318200;190439600;189490000;203014000;203645999,999999
"Christmas Island";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cocos Island";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Colombia";10654545,6038214;10443867,3931432;10075180,5244563;9257762,11374832;11233910,6831865;11759925,1380803;11675790,0681693;10577425,4963427;9947956,31188735;9073777,95193312;8499447,35532667;7941781,13151217;7467260,33736379;7098573,46867692;6677217,04732049;6801138,49828333;7256582,12668557;7646473,03080062;8204634,07473753;9019320,31646514;9521372,89147634;16052397,4225008;20361039,2595909;19994312,1062845;21361760,7603124;23373465,2435686;22578194,9544708;23268770,9807433;24031738,3937901;24120907,9464596;31015584,8634124;33360582,2062994;34837703,5129621;40408859,954222;43705837,7369756;37080744,4693237;32576392,5710305;31206984,2016221;29258210,7528486;28667106,1650992;28634030,8993866;28838412,5615763;28956238,5725757;31996864,7857889;35825223,5719261;41896337,5690401;48711514,3367169
"Comoros";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Congo, Dem. Rep.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Congo, Rep.";71000;62000;;;;;;336000;2091000;2455000;1789000;2100000;1639000;2430000;2762000;3168000;4101000;4553000;5365000;6025000;5937000;5951000;6317000;7038000;7962000;8029000;8054000;8638000;9538000;9562000;9267000;10359000;11586000;13599000;13726990,1129943;13138727,9661016;12051444,2090395;12292401,1440678;11180893,8418078;11552966,1016949;12634039,5480226;14330932,2033898;11544338,0508474;12238045,6920904;14233342,9802259;15084788,3615819;15229853,0508474
"Cook Is";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Costa Rica";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cote d'Ivoire";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Croatia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cuba";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cyprus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Czech Republic";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Czechoslovakia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Denmark";;;;;;;;97730,3070761;146194,92656876;97463,28437917;146194,92656876;195460,6141522;487316,42189586;389853,13751669;389853,13751669;293190,9212283;730974,63284379;1656875,83444593;2095460,6141522;2296662,21628838;2923898,53137517;3606141,52202937;4532042,72363151;4691054,73965287;5457943,92523365;5896528,70493992;6919893,19092123;7671829,10547397;8186915,88785047;9015353,80507343;9064085,44726302;10163951,9359145;11208277,7036048;11598130,8411215;14570761,0146862;17738050,7343124;16958611,4819759;18079439,2523364;17933244,3257676;19057409,8798397;18371829,1054739;16666221,6288384;15168000;14035000;12902931;12156576;10926986
"Djibouti";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Dominica";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Dominican Republic";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"East Germany";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Ecuador";428781,2041116;375183,55359765;321585,9030837;268722,46696035;214390,6020558;214390,6020558;214390,6020558;4192070,4845815;11201908,9574155;9486784,14096916;8629221,73274596;10103964,7577092;9839835,56129424;10889656,4383006;11532828,244468;11026980,1002582;11372035,2929262;11372035,2929262;12819171,8568028;13943589,9741759;15223301,8633854;15866473,6695528;9388922,22391007;16501132,8877411;15240399,5138994;15522755,6331966;16304588,2576333;17455699,954428;18725815,9147298;20601733,6827181;20999049,3695883;20926899,2556585;21084112,5373436;20440940,7311762;20333745,4301483;21786811,1499316;22102467,8971087;21298503,1393994;22692042,0527621;28558617,3173325;28802174,2113524;28999393,0615727;27681344,137931;27414858,1396526;26340206,5167856;26341345,8266241;27066039,1702364
"Egypt";6478000;6257000;5581000;8577000;12295000;16404000;14952000;10720000;8479000;7453000;11734000;16610000;20900000;25190000;26140000;29780000;32152000;33314000;36430000;41836000;45067000;41135000;46249000;44234000;44521000;45499000;45418000;45985000;47527000;46497000;46588000;45080000;43792000;42962000;41361000;38800000;37345000;36960000;36760000;35390000;33900000;33650000;34110000;34640000;35260000;35030894;35151315
"El Salvador";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Equatorial Guinea";;;;;;;;;;;;;;;;;;;;;;;;;;;;99321,57394844;247625,50881954;247625,50881954;346675,71234735;844233,37856174;2971506,10583446;4110583,44640434;4952510,17639077;4519131,614654;8765943,01221167;11407067,1641791;13180065,807327;17421153,0529172;17729986,4314789;16937832,4287652;17348593,6227951;17229561,7367707;15212625,5088195;13566361,6010854;12473849,3351424
"Eritrea";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Eritrea and Ethiopia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Estonia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Ethiopia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Faeroe Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Falkland Is (Malvinas)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Fiji";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Finland";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"France";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"French Guiana";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"French Polynesia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Gabon";1265000;1447000;3445000;4641000;5027000;5423000;5795000;6303000;7597000;10202000;11315000;11324000;11267000;10600000;9798000;8895000;7652000;7792000;7869000;8730000;8626000;8295000;7729000;8892000;10227000;13493000;14708000;14452000;15223000;16837000;17756000;18250000;18194000;16848000;16975000;16375000;15025000;14725000;12000000;11750000;11700000;11733926,1285909;11484268,1258549;11766073,871409;11484268,1258549;12482900,1367989;12233242,1340629
"Gambia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Georgia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Germany";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Ghana";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Gibraltar";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Greece";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Greenland";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grenada";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Guadeloupe";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Guam";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Guatemala";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Guernsey";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Guinea";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Guinea-Bissau";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Guyana";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Haiti";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Holy See";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Honduras";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Hong Kong, China";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Hungary";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Iceland";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"India";3022000;4647000;5667000;5853000;6723000;6809000;7185000;7373000;7198000;7490000;8283000;8659000;10185000;11271000;12839000;9399000;14975000;19881000;25356000;28194000;30202000;31622000;30684000;32286000;34449000;34171000;32180000;29186000;27875000;32378000;36647000;34800000;35585000;34695000;34614000;34164000;34088000;35242000;35387000;36338000;34608000;35776000;36136000;36135000;35437000;38901500;40426200
"Indonesia";24535269,7095435;23929460,5809128;25746887,9668049;30322821,5767634;32410788,3817427;43113416,3208852;45031811,8948824;54722821,5767634;67547717,8423236;69415629,3222683;65932226,8326417;76126143,8450899;84936627,4781005;82104638,0820654;79544926,2332872;79035076,0719225;79962093,1304748;66583808,2065467;70683789,7648685;74892475,7952973;66339801,7519594;70369726,4749368;69824335,7816251;67289746,7448848;71630325,908968;74433524,8644695;81005547,1296163;76730357,180331;76851028,2427942;76940387,990652;76454562,7255528;76726289,9317975;75711138,0184734;74200520,4607239;68604196,1574537;71469985,1281696;67860826,2720147;63015183,8049792;57328486,8390963;55245908,8607653;53142737,7017058;48896665,9817104;47542043,0069617;48977212,4647302;47941704,7860765;48330672,5739972;45609812,2181235
"Iran";95662087,9120879;106892857,142857;130507554,945054;142780219,780219;169263736,263736;192586961,538461;228684626,373626;253710945,054945;295377082,417582;303197197,802197;269469890,10989;296966208,791208;285627884,615384;264820054,945054;160485164,835164;74158021,9780219;66159769,2307692;120092434,065934;122834439,560439;102518241,758241;110351098,901098;102699807,692307;116725659,340659;117383241,758241;143838538,461538;162788873,626373;174370879,120879;175678857,142857;184293956,043956;184984505,494505;185456505,494505;186641758,241758;186962664,835164;190787554,945054;178117390,10989;191140482,292762;189245440,967149;176875906,525512;197973681,083009;206853266,822063;205091416,491758;207886359,13092;209587072,490266;212975616,755143;203990515,66995;207100053,650285;205846701,755106
"Iraq";64675438,5964912;68566801,6194331;60488529,0148448;74237246,9635627;74921052,6315789;76300269,905533;83442645,074224;72409716,5991902;99402159,2442645;97277044,5344129;111703052,631578;119525400,809716;115992219,973009;126578380,566801;171649230,76923;131073117,408906;44504210,5263157;48504089,0688259;54354278,002699;60538502,0242915;69838894,736842;93189815,1147098;117256055,330634;136699246,963562;138967118,758434;105300904,183535;13942914,979757;26146566,8016194;22331991,902834;24794879,8920377;26026323,8866396;28566809,7165991;57144423,7516869;104185584,345479;128272628,879892;128820267,206477;123906914,979757;103974264,507422;66074851,5519568;100036937,651821;90034318,488529;98147317,8137651;105225352,496626;119490553,846153;119983726,045883;121446829,28475;136935587,044534
"Ireland";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Isle of Man";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Israel";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Italy";2278000;1850000;1723000;1627000;1591000;1502000;1353000;1210000;1105000;1104000;1235000;1293000;1246000;1489000;1717000;1707000;1487000;1763000;2241000;2273000;2384000;2558000;3935000;4837000;4604000;4668000;4332000;4501000;4640000;4895000;5236000;5452000;5948000;5622000;5015000;4586000;4128000;5531000;5570000;5469000;6111000;5769000;5860500;5235900;4572270;5106190;5307050
"Jamaica";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Japan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Jersey";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Jordan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Kazakhstan";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22660000;23290000;24060000;24960000;25400000;25800000;26600000;25800000;23000000;20312000;20633000;22961000;25779000;25945000;30131000;35317000;40091000;48152000;52412000;60606000;62614300;66109200;68387250;72049900;78214136;81646900;82372500
"Kenya";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Kiribati";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"North Korea";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"South Korea";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"United Korea (former)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Kosovo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Kuwait";119011361,878977;125556470,314429;126392343,545169;133128194,015389;140907963,949843;151798933,599316;162549492,495487;167349232,259903;153800438,681485;129870429,134606;106349897,786643;109910832,60188;100779734,967227;108779691,032582;129619655,029923;86833619,9487033;58623916,5954213;42664290,7286026;55005548,5418447;60727083,6705614;55489493,3979291;59395312,3871948;52115009,9743516;63046220,5756625;68410687,5653082;46796789,7311674;9216983,32858364;53955534,3402678;96581974,9216301;103357202,906811;104888944,286121;105125898,033627;105114237,389569;110003267,977581;102556342,215256;110065896,984005;106853545,162083;99209037,3898071;115766810,552685;123403453,729338;130382983,627754;133808335,222968;129909549,46158;135813190,618112;120951368,848829;122689354,65668;140041283,708677
"Kyrgyz Republic";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Lao";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Latvia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Lebanon";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Lesotho";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Liberia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Libya";57981770,8333333;71669270,8333333;82362630,2083333;123858593,75;147710937,5;159544921,875;130684184,695512;106819651,442307;104632602,163461;73585667,0673077;71531810,8974359;93492031,25;99625550,8814102;95647986,7788461;101073998,397435;88287235,5769231;59115084,1346153;55393429,4871795;54329577,3237179;48243521,6346153;48391015,6249999;50194811,6987179;47295723,1570512;49712800,4807692;54885266,426282;67242037,2596153;67892778,4455128;69699098,5576923;66121885,0160256;67500140,2243589;67892778,4455128;68586141,826923;70090675,0801282;69592748,3974359;66978816,1057692;69545132,2115384;67073868,1891025;64602514,0224359;69830378,6057692;76548401,4423076;81913691,9070512;84909502,7043268;85030729,1666668;85276093,75;77083583,7339743;77443850,1804387;22431971,1538461
"Liechtenstein";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
