"Crude oil production, total (toe)";1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
"Lithuania";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Luxembourg";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Macao, China";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Macedonia, FYR";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Madagascar";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Malawi";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Malaysia";;;;191623,03664921;429973,82198953;859947,64397906;3296465,96858639;4455235,60209424;4347513,08900524;3869764,39790576;4681937,17277487;8000261,78010471;8742801,04712042;10319371,7277486;13472513,0890052;13221989,5287958;12373691,0994764;14523560,209424;18393324,6073298;21365968,5863874;21259816,7539267;23887434,5549738;23600785,3403141;25724328,0977312;27973353,6940081;29549924,3746364;30770413,0308318;31264150,08726;30576553,2286212;31113755,0901687;33323077,3705642;33793787,0855148;33497614,8923792;34023138,4525887;32413231,5299592;32001260,034904;31189982,547993;32610488,6561954;34420413,0308318;35505193,7172774;32634494,4735311;30925968,5863874;31677763,8161721;32051642,2338569;30589955,2065154;29825316,4630599;26586311,2274578
"Maldives";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mali";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Malta";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Marshall Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Martinique";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mauritania";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mauritius";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mayotte";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mexico";18053894,0574338;18489541,8904268;20463760,9358848;21900665,6077452;22965008,9504071;24179006,8829891;24107319,1639563;25097617,4268209;25859389,1031944;32416192,6732723;40154693,2909764;44773750,8509189;54365702,2918084;66692308,9529284;80659911,0001764;107187902,57923;127995339,485162;151013078,94007;147124549,328089;148311250,283639;145853863,802536;136881763,860524;143035220,482565;142690908,403297;143065220,734689;145168698,845561;152817296,101922;153031688,593403;153276788,072188;154172974,466011;150213314,682818;162359682,254214;169619477,104338;173474183,143289;165492191,352348;171414331,452196;176835725,779724;178613656,160902;188956614,970599;190860518,130067;187277909,596968;183275494,451902;172930845,95479;157649291,935817;147440072,292479;146279803,306445;145112628,32898
"Micronesia, Fed. Sts.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Moldova";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Monaco";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mongolia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Montenegro";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Montserrat";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Morocco";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mozambique";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Myanmar";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Namibia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nauru";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nepal";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Netherlands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Netherlands Antilles";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"New Caledonia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"New Zealand";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Ngorno-Karabakh";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nicaragua";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Niger";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nigeria";13496626,1808367;20589743,5897435;15713225,3711201;6964372,46963563;26599190,2834008;53395411,6059379;75413630,2294197;89795951,417004;101273954,116059;111125506,072874;87925101,2145748;102292307,692307;103342780,02699;93441970,3103913;113588394,062078;101699595,1417;70931174,0890688;63542510,1214574;60882591,0931174;68557085,0202429;73837381,9163292;72261133,6032388;66384682,8609986;73455195,6815114;86910391,3630229;91589878,5425101;95936054,8807917;99118825,9109311;98714356,7251462;97088850,6522717;97494570,4003598;105004955,465587;113202049,032838;106010580,296896;100783182,636077;105385443,994601;110793837,156995;102283738,191632;110312917,228969;120702618,08367;124220681,51147;119732021,979307;114102693,432298;105303074,237516;101535899,707377;117238578,497525;117441147,098515
"Niue";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Norfolk Island";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Northern Cyprus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Northern Mariana Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Norway";;;;;;;292780,7486631;1614705,88235294;1561497,32620321;1707887,70053476;9222593,5828877;13651604,2780748;14004679,144385;17371657,7540107;19499519,8533959;25049630,3612354;24292340,7090108;25231516,2883335;31397641,5111499;35954766,7248717;39210821,1011677;43034049,7107934;50115277,4291534;56979542,1259412;74909089,8177452;82143051,4933245;93842244,8979591;106900702,553748;114128342,473352;128582961,229946;138399687,284004;154664268,416457;156227930,308487;149600210,675179;149673701,298701;160184988,104332;162026605,733202;157314379,2517;152997479,810105;149883494,79319;138218902,566323;128711508,407016;118577705,471158;114192111,730768;108796147,793621;98561905,8710913;93445648,6856185
"Oman";;;2822930,80054274;11968249,6607869;16194708,2767978;16442333,7856173;14560379,9185888;14004341,9267299;14510854,8168249;14362279,5115332;16888059,7014925;18225508,8195386;16838534,5997286;15550881,953867;14609905,0203527;14117106,16198;16307164,4130445;16703365,2271557;19328195,6206428;20753542,5536892;24789362,7473915;27859919,0567538;29012402,3300425;30929337,4818696;32060245,4030786;34239349,8806905;35315496,1867777;37037614,2796986;38786906,9620549;40452700,8375052;42807192,4858466;44364635,2875122;44909959,9962569;44711859,5892013;45009010,1997847;46360379,6850287;46138842,2332943;43387430,9874233;39618596,4748959;38086535,8149412;37440644,7367215;35743992,8643545;34505626,1157231;35947422,6848051;38658653,4398329;40957773,2412623;42124087,8337388
"Pakistan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Palau";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Panama";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Papua New Guinea";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Paraguay";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Peru";3394165,08805683;3394165,08805683;3811904,71609689;3979429,83572591;3864122,16960189;3864122,16960189;3305447,63455182;3471585,20053278;3775404,71609689;4088709,43712693;3796156,65236052;4015999,1416309;4788288,26895565;7921335,47925608;10062251,0729613;10246900,4291845;10114468,5264663;10218903,4334763;8929184,54935622;9670934,7639485;9853381,25894134;9331206,72389127;8600162,37482117;7419432,61802575;6824768,95565093;6772551,50214592;6041507,15307582;6110419,74248927;6615899,1416309;6668116,59513591;6407029,32761087;6319861,80257511;6229625,03083222;6005037,76330719;5514328,74549849;5147152,37531449;5028654,21044842;5028654,21044842;4715349,48941838;4665715,49504218;5178525,67707563;5357600,51452814;5290512,14959795;5507797,19234374;6648295,38256383;7191917,83620453;6988584,19179414
"Philippines";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Pitcairn";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Poland";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Portugal";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Puerto Rico";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Qatar";11605327,4382172;14494207,2297048;16137880,2145167;16981209,3175584;17731744,9270615;18080402,8329307;21417557,0748215;24073361,4443034;28390715,1922053;25800685,0343199;21766214,9806907;24323085,1107381;21666598,4361567;24107203,777241;25202985,7671156;23672969,3781471;20696350,2681459;16876113,3035848;15348632,0465059;17147038,3182543;15317823,7742388;17271538,1203859;15271207,2297048;17647209,3175584;19690143,4614702;21122158,5404129;20403034,4564075;23600622,1803741;21813226,1841405;21348335,1892032;21831226,1841405;27104029,844025;33272959,8508245;33551687,968653;34278195,56924;36120546,1354521;35689636,345028;35241005,3682141;40777432,9145791;46044011,9764647;47286283,7147018;50908077,1163033;53605081,2492065;60843481,1207138;57867668,2649287;65685482,3743794;71052716,1588387
"Reunion";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Romania";12821000;13075000;13456000;13535000;13546000;13677000;14093000;14428000;14637000;14836000;14980000;15090000;15040000;14114000;12713000;12001000;12134000;12232000;12083000;11943000;11248000;10655000;10034000;9839000;9623000;8136000;7008000;6827000;6929000;6974000;6951000;6852000;6750000;6553000;6379000;6287000;6238000;6072000;5890000;5705000;5437000;4996000;4745000;4719000;4498000;4287000;4222000
"Russia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;542306000;561182000;569481000;568779000;552226000;515890999,999999;461944000;398810000;354875000;317578000;310748999,999999;302872999,999999;307419999,999999;304340000;304768000;323279999,999999;348090000;379600000;421364000;458805000;469986233;480528520,666;491306254;488486748,98;494247000;505130000;511420000
"Rwanda";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"St. Barthélemy";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"St. Helena";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"St. Kitts and Nevis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"St. Lucia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"St. Martin";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"St. Vincent and the Grenadines";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"St.-Pierre-et-Miquelon";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Samoa";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"San Marino";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sao Tome and Principe";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Saudi Arabia";111009134,615384;130828434,065934;141287087,912087;154227774,725274;162740865,384615;192166483,516483;240799725,274725;304217390,10989;384004567,307692;429662156,593406;359316929,945054;437251854,395604;468400789,835164;424435336,538461;487979429,945054;509828447,802197;506347252,747252;340184237,41581;240258921,038638;219032787,575327;172074663,239985;252590092,165898;221071077,410492;276518773,484579;271147951,745834;342618600,451967;428355835,696561;442394553,349875;432785148,218716;437249718,628146;437209159,929348;445364098,091648;453195010,427072;454409641,012083;422378905,778566;455041363,598618;439375576,38055;424120046,41489;483801797,022479;504305419,65733;524870924,333077;512439215,936691;492372043,610493;513480863,881909;462737292,612956;466553595,112439;525800320,671707
"Senegal";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Serbia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Serbia and Montenegro";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Serbia excluding Kosovo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Seychelles";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sierra Leone";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Singapore";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Slovak Republic";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Slovenia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Solomon Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Somalia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Somaliland";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"South Africa";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"South Ossetia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Spain";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sri Lanka";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sudan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;98515,51956815;98515,51956815;98515,51956815;246963,56275304;443319,83805668;591093,11740891;3103238,86639676;8594331,98380567;10688933,8731444;11871120,1079622;13053306,34278;14867206,4777327;15023616,734143;16304318,488529;23052631,5789473;23708502,0242915;23397435,8974358;22904858,2995951;22313765,1821862
"Suriname";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Svalbard";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Swaziland";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sweden";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Switzerland";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Syria";;;;1048567,53069577;2639154,16098226;4232605,72987722;5278308,32196453;5842019,09959072;5527285,12960437;6423601,63710778;9560709,41336971;10036289,2223738;9112551,15961801;8913369,71350614;8315825,37517053;7889222,37380627;8166439,29058663;7718281,03683492;8017053,20600273;8088949,52251023;7932462,48294679;9979072,30559345;11482933,1514324;13371787,175989;16935627,5579809;20225121,4188267;23469819,9181446;25635143,2469304;28127993,1787176;27985607,0941336;29612058,6630286;29193368,3492496;28666946,7939972;28618151,4324693;28751537,5170532;27335824,010914;28906718,963165;27220154,1609822;26225197,8171896;24663457,0259208;22357519,3957708;21626770,0424703;20632172,4733326;19841210,0996561;19936700,9897258;19140543,250554;16516495,4731128
"Taiwan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tajikistan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tanzania";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Thailand";;;;;;;;;;;;;;;;;66961,49400376;241350,38289265;584986,20141598;1061997,294276;2010137,73488772;2044214,83813565;1893167,94614408;2164767,11491342;2106731,25339356;2533801,24943916;2961307,21978874;3573190,60260534;3711483,44907566;3738731,98047133;3554451,13886798;4087848,8870942;4846945,3446414;4996725,90183195;5446022,48792766;6985844,15705062;7524729,53600408;8154621,92343668;9590956,91712485;9079351,63502384;10837186,099552;11775441,5780728;12530026,3578363;13253895,1270863;13690466,9561001;13820037,5562319;13931031,436855
"Timor-Leste";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Togo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tokelau";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tonga";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Transnistria";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Trinidad and Tobago";6671459,79020979;7562911,62196013;8850564,26782173;9485210,31207598;7775440,97693351;6933514,24694708;6388738,1275441;7002170,96336499;8221166,89280868;9261194,02985075;10697421,981004;10528086,8385346;11341248,3039348;11390773,4056987;10598371,7774762;10528086,8385346;9360244,23337856;8765943,01221167;7924016,28222524;8442333,78561737;8635691,99457259;8297985,82843359;7613603,94994723;7444814,11126187;7343361,97798884;7374947,98733605;7244308,59977502;6948984,04829002;6452685,82785374;6763483,35536768;6735792,68575537;6675649,16675364;6437474,84894873;6396919,29339317;6644541,6275267;6470358,05239537;6257307,18493778;7213491,92267103;7551194,91412402;6993941,91629266;7917758,97609853;7990126,76897564;6939230,34956337;6629941,61416693;6585464,49769033;6290990,7363929;5879780,00674879
"Tunisia";;771000;2241000;3191000;3707000;4151000;4109000;3977000;3878000;4139000;4609000;3710000;4304000;4944000;5536000;5627000;5407000;5146000;5532000;5480000;5408000;5250000;5007000;4936000;4960000;4537000;5226000;5221000;4674000;4396000;4246000;4214000;3822000;4011000;3972000;3690000;3359000;3518000;3199000;3376000;3439000;3306000;4608000;4209775,546;3950356;3769555,116;3673905,29824
"Turkey";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Turkmenistan";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6780000;6560000;6470000;5720000;5750000;5700000;5400000;5200000;4382000;4192000;4070000;4355000;5368000;6369000;7063000;7160000;8019000;9010000;10004000;9599000;9499000;9200000;9800000;10300000,0025;10400000,0004;10691200,004;10691200,004
"Turks and Caicos Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tuvalu";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Uganda";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Ukraine";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"United Arab Emirates";13656627,3052938;17433992,3046304;18499402,945469;24183096,722834;29008226,084649;36901950,3781345;53561098,580337;63128565,7423378;70510813,3209499;78985670,6912564;82133474,8573703;94061562,9560833;96758657,2906992;88574366,4588032;88671221,9716067;84296811,1929864;74072143,9615844;65081693,9636256;60842621,5286637;59936879,777712;58325989,349976;73407668,5786019;74576756,5267756;75713548,8257927;95004836,7795797;107600952,097855;124507943,312989;118424347,296924;114589491,776466;116251537,03269;112328888,764148;117778572,88658;122068013,250017;125246014,916157;120222859,85293;122082905,455425;117988679,885028;110173772,010951;124548270,010971;131735375,2125;137277707,986752;145470198,750267;140738377,371633;142890242,455169;126305650,703503;131419895,519284;150094161,686959
"United Kingdom";84000;78000;89000;84000;85000;156000;212000;333000;372000;410000;1568000;12169000;38265000;54006000;77854000;80467000;89480000;103219000;114960000;126065000;127611000;127068000;123351000;114459000;91709999,9999999;91604000;91260000;94251000;100189000;126542000;129894000;129741000;127883000;132633000;137420999,999999;126245000;116678000;115944000;106073000;95374000;84721128,6867127;76577836,6974664;76832237,7405308;71664000;68197999,9999999;62963000;52003000
"United States";427687072,160716;454526860,157674;484209081,964046;502893164,47138;511367956,875007;533497368,071569;525898904,369242;527893082,37453;514654627,002619;491396094,966738;469783497,929469;457997859,686824;462825587,656497;484183699,549674;477014533,557087;480212069,927199;478817962,91154;480746453,536804;482979180,600997;496139028,601093;498686312,161199;482322410,629127;467261384,901423;459077490,975383;429029255,454007;416601963,684216;422919364,594526;413025624,600079;397023176,665177;387520326,817901;383571730,9155;382081570,46445;379970380,543046;368137856,910019;352603158,314117;352598971,133298;349200945,321083;346849811,056514;338412670,07932;329172744,087215;313301001,460841;310227173,453742;309756188,653732;304945001,388402;328622274,801699;339915194,216397;352272827,254946
"Uruguay";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"USSR";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Uzbekistan";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2310000;2530000;2670000;2440000;2700000;2800000;2800000;3300000;4001000;5517000;7587000;7623000;7891000;8176000;8100000;7500000;7176000;7198000;7134000;6578000;5449000;5412000;4928000;4781000;4455000;3649308;3585000
"Wallis et Futuna";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Vanuatu";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Venezuela";184113961,846792;178785908,532671;187925042,469512;191762383,985732;190805530,873211;197238062,36673;189876556,086119;173812347,609878;181434538,140284;160650215,546021;127097796,478894;124812680,588258;121489917,378512;116975083,429179;127368233,078318;117346330,09395;113615355,93578;102595024,454754;97268925,2034306;97604290,9137902;91504040,2704367;98944937,0345002;100253500,469538;105195081,376565;105659697,427878;117797051,894737;131325414,80036;131589960,401132;136137358,432087;144479366,664082;155325093,640557;165178120,303433;174365963,923099;179581893,371757;160867175,792507;167267273,775216;161628206,051873;148782414,98559;131379067,723342;145200848,991354;154452327,089337;151166275,216138;152135576,368876;154056466,858789;149885619,596541;142537443,804034;139642583,573487
"West Bank and Gaza";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"West Germany";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Western Sahara";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Vietnam";;;;;;;;;;;;;;;;;;;;;;;280000;690000;1490000;2700000;3960000;5490000;6300000;7100000;7652000;8850000;10100000;12100000;14600000;16200000;17082000;17260000;17673000;20832000;19095000;17382871,4716;16397204,7136;15353910,1636;16856817,568;15526999,9;15860700
"Virgin Islands (U.S.)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"North Yemen (former)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"South Yemen (former)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yemen";;;;;;;;;;;;;;;;;;;;;;478374,836173;1243774,5740498;8154652,68676278;8515072,08387942;8706422,01834862;9423984,27260813;8726401,04849279;9895171,69069463;16391231,9790301;16658419,3971166;16917148,0996068;17725169,0694626;18001031,4547837;19165293,5779816;21329317,1690694;21508655,3079947;21547817,8243774;21141955,4390563;19881323,7221494;19606016,1154923;17911537,9574445;16070010,436222;14865641,536653;14425563,1518438;14172848,3121741;10766452,6956851
"Yugoslavia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Zambia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Zimbabwe";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Åland";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"South Sudan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Christian";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Coastline";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Curaçao";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sint Maarten (Dutch part)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"St. Martin (French part)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Antarctica";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Virgin Islands, British";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Hawaiian Trade Zone";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"U.S. Pacific Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Wake Island";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bonaire";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sark";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Chinese Taipei";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Saint Eustatius";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Saba";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
