"Total GNI, PPP (current international $)";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Abkhazia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Afghanistan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13363780107,0509;16780503844,0344;18936445931,4207;22408872945,1924;27298432147,8066;30703643998,493;28094524918,861;33416936845,5373;36340804707,5381;
"Akrotiri and Dhekelia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Albania";;;;;;;;;;;;;;;;;;;;;;;;7371643811,67912;7724703707,05067;8337068005,52006;8514918283,85722;8685519126,0614;9897639044,09016;9281307284,97579;6634427298,83816;6148467101,2526;7107574553,55267;7951700525,80064;9361086150,68892;10453469508,8387;9556552382,70517;10916774576,7086;12143604080,0089;13447863253,3259;14821516688,109;15395730913,2491;16631426533,833;18015371677,5324;19546091949,439;22082450569,2379;23436223756,7999;26355382354,896;27320511767,4538;27475758369,581;28631731781,3348
"Algeria";;;;;;;;;;;;;;;;;;;;55490412049,0387;62514618959,1946;70510933423,3043;77571181979,5384;84781291946,2516;90640899218,6902;93483673795,6637;95502819312,1877;96729413911,7479;104791797161,967;109668971184,076;110310420095,856;115090885515,894;116345031849,941;116945481767,877;122703724103,845;129708509321,566;134858839079,31;144417134612,144;150344137487,383;156584006309,84;167552956381,922;176720107726,679;192772365834,939;207922776648,404;224059955915,877;238702270156,434;259608445212,63;273273945203,032;287980297083,302;285929875049,84;301065051175,923
"American Samoa";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Andorra";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Angola";;;;;;;;;;;;;;;;;;;;;;;;;15478914849,3;16284542410,9416;18386825926,2951;17814316785,9274;18707970471,5464;18485725979,3616;19063524445,1111;13620695150,2607;10575318288,4502;8721660681,58906;15063168043,2235;18207518360,8471;21408164952,8909;22519295538,9653;22281496887,9421;24963458002,0554;26632103875,9563;32154725533,9832;34704666867,7322;39592021681,5967;47417675782,745;58747469064,0836;76032244781,3058;84682885191,2287;95248196267,1763;98675465036,4678;103737426639,269
"Anguilla";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Antigua and Barbuda";;;;;;;;;;;;;;;;;;;;243134945,28386;275336180,252948;289403110,215674;321493538,486812;367657597,350642;404619966,020949;403413690,235614;453112663,935364;523985539,180329;556950651,317308;593507944,211456;652361429,435005;678036907,711918;745897975,287973;806831879,197239;790251528,624891;835196634,886072;933094462,557038;992305085,636164;1046143051,19495;1062656074,27968;1139304675,60454;1163582259,8923;1255827894,04704;1375944020,17153;1493170657,11492;1747585892,97805;1625363954,14245;1677931711,85247;1525501415,96783;1426855698,78119;1404083123,58582
"Argentina";;;;;;;;;;;;;;;;;;;;134135403412,674;136332345849,691;132297056519,969;143354144783,163;152838704046,985;145268346057,557;161648147494,021;170994727012,52;172961085496,522;159035588391,762;168115802274,828;198510857079,494;229772670150,828;250108215642,666;269862499683,384;267156740642,837;286297152411,6;315194839340,569;330644655194,857;323585305380,218;327932853712,521;319857477295,834;276355349979,485;311021341348,202;349852855341,602;404846242890,313;457830677149,973;513990158988,238;559844401515,114;565470339642,727;626520625873,636;703278101129,56
"Armenia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7244647114,0707;6859172649,68336;3409665862,37094;3490634804,56189;4088548704,73029;4468511932,56433;4955370922,34239;5381868754,27801;5699851063,4851;5961979045,50489;6437216776,70162;7231595019,96753;8372117153,48225;9716270127,91484;10996370617,2696;12899134331,5944;15170332361,9696;17697670007,7688;19527141808,2999;16598078962,2466;17425075978,8761;19050238731,923
"Aruba";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Australia";;;;;;;;;;;;;;;;;;;;132263976623,684;149220800494,136;163165170764,722;168696309700,925;184620170070,905;198188465476,488;210522982384,59;221350129233,215;240086886511,468;261149463034,634;282914161970,927;294277190571,778;307465483024,742;326831172350,212;346246617133,057;364048599793,837;387380692980,189;410594047944,503;440632358869,84;466044180577,509;492189206280,132;519185660711,63;553211083336,814;580355337019,337;616241412114,547;643291156606,098;683728597577,895;732523699197,258;772276465702,088;833500952482,014;811982931579,059;
"Austria";;;;;;;;;;;;;;;;;;;;78784994485,2592;85854915685,2674;92993899623,9403;99743134347,1408;103451917762,81;109255126800,521;113946512526,975;118886168157,326;126824494129,213;136698381505,167;148134314285,114;157614623107,313;165066196744,122;169512670671,488;176766500354,372;184250679217,915;192922346513,766;197258557692,475;206423340265,55;213431718869,776;227698589191,628;228469463804,985;243160491701,119;251798479699,738;266413954724,157;273986822014,516;299238360906,227;312231977819,712;331009931887,364;322662994384,733;334041572823,94;354241704431,148
"Azerbaijan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15667744388,5111;12832784466,0689;11539159774,0374;11715199064,2711;12855168387,8156;14330778844,7742;15510070690,0477;16817210409,9755;18805333553,7364;21073379970,7245;23951344445,1009;26559900184,0665;33040791239,2245;45692821195,4948;57046629593,0276;68109027678,4021;77624631457,7457;83689360381,015;82664904699,2632
"Bahamas";;;;;;;;;;;;;;;;;;;;2396051066,26874;2347039317,73034;2728956939,68944;2944155573,87328;3481617814,35913;3772124076,87458;3942732669,22959;4207649355,55645;4454753264,22757;5053154184,13069;5119335586,4553;5077840037,32269;5111055780,46954;5160136520,85917;5421774006,4347;6801773073,41562;7806668213,73652;6401762245,67763;7010389340,0744;7540148829,63346;8000575291,68991;8378429609,99381;8747414369,92943;8868057901,21133;9224441239,30684;9795680887,92591;10378463025,5892;10753052485,0827;10900894306,6803;10484747791,4553;10233487570,9532;
"Bahrain";;;;;;;;;;;;;;;;;;;;3467434519,32612;3698287967,94256;3567633530,9504;3882051682,83254;4247677680,80274;3992355295,21556;4027413297,47344;4578967934,27466;4845087793,64215;5084686068,98812;5339186881,1619;7635704271,11696;8040910883,65997;8870344401,41763;8969824385,00301;9872071262,43154;10522707303,775;10690270348,361;11490054159,1809;11975771052,9875;13055675448,3816;13786340724,4453;14420124346,3384;15973168952,5129;17331094457,1178;19719534968,4684;21862153511,0306;24576264000,5021;25996514737,5734;24766935504,7755;26801669108,0428;
"Bangladesh";;;;;;;;;;;;;;;;;;;;25325489454,5561;30090088661,9232;32698921393,4268;35777185723,7365;38939739389,6977;41030540934,4736;43853134155,9691;47003219492,3916;49693361479,7191;52920560659,8933;57984495467,1251;61987954996,359;66673251130,2808;71456359530,5881;76188534362,3463;81739587237,6668;86971607325,305;93657149012,4638;99947957747,6908;106549366291,687;115590503053,73;124219559534,3;133216624741,6;144439848483,472;157445301798,681;172087969083,679;192008424730,313;212092369202,221;233201014827,166;249731978981,115;268461759515,385;291453041965,312
"Barbados";;;;;;;;;;;;;;;;;;;;;;;;;2174182196,57164;2369574849,48588;2469863029,9198;2718217090,85305;2990324146,20605;2998276492,09119;2927438544,35441;2877071116,93679;2945676866,1056;3141727956,07391;3251315137,65126;3371902131,36656;3673740760,77692;3870792266,55321;4008038563,71219;4175264198,26459;4035834839,51079;3936323425,44525;4106313165,13053;4379185894,2404;4620527159,262;4657960252,26856;4811210862,7838;4885991552,71522;5142479700,35582;;
"Belarus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47323771553,1723;48368276687,3612;44645911521,0387;42176922789,7542;37909491203,6603;34697187688,5081;36357243529,9647;41121382141,4427;45196564607,2631;47544588249,2406;51379929632,3262;55003071959,8963;58843262843,2738;64531541770,8744;73919620392,1789;83519164429,4467;94491874757,8768;105023241089,877;117883108745,209;118165413334,556;128935240615,664;137940739879,399
"Belgium";;;;;;;;;;;;;;;;;;;;100530436405,03;109733440615,241;116559720496,027;121485772891,965;129434934803,381;135991740902,396;141686025662,702;149665064720,153;162122235313,401;173574663658,437;186169035568,535;197045856748,865;204762715696,565;209283998603,331;222264520077,099;231711435701,111;236327683937,429;247832664761,357;253224987910,972;264325807203;289968227491,888;297956542387,106;314666343698,43;319002193625,794;328493717009,578;339509754952,532;364224791919,849;382653850801,964;402231482097,179;393969759440,478;417859600824,882;432250531081,815
"Belize";;;;;;;;;;;;;;;;;;;;230632333,066458;255545726,080678;265573438,400072;269773765,573353;280978066,989125;291730155,944041;321061968,099674;365067330,849333;411581389,783849;479921884,248768;561315676,438242;636214786,974265;721587094,962238;781458320,801206;796836198,524454;823202138,112759;847460530,935835;895811983,235542;935903832,571732;1017242157,36962;1160612586,49909;1222070976,07263;1312389176,98957;1456595351,53785;1530495168,26934;1637747573,84856;1767911229,96941;1799949065,69614;1911325676,12865;2021413350,50419;2028931036,71514;2164586795,26917
"Benin";;;;;;;;;;;;;;;;;;;;1950957912,85533;2345237638,94365;2537990603,32177;2504881369,07104;2759567087,40089;3082509900,52715;3222844213,02586;3271359879,50046;3511250844,94506;3502953587,47427;3769400946,59611;4101067122,04102;4303683542,92728;4595834360,60233;4871699521,00738;5222279211,31002;5616373175,2879;6120139475,48271;6541151386,68681;6943202228,51592;7513316745,89766;8039008412,7231;8534388444,10864;9029815536,5722;9587385049,1106;10229954473,9211;10806614588,7659;11657036806,602;12775199777,0032;13490573399,4364;14024013138,2138;14850087112,7019
"Bermuda";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bhutan";;;;;;;;;;;;;;;;;;;;;183805527,659293;208728257,159078;229897317,587568;263302419,490695;281483446,970154;335098607,287457;435770306,971056;510473970,48447;664523342,425386;716801943,59327;754157163,373401;767973871,226912;840140317,068972;929343081,550178;941813773,471331;1050691536,60628;1168137270,07834;1156561547,44538;1178595363,87626;1340620383,68478;1497689368,71304;1646185884,63251;1776133605,23255;1992613870,11239;1996665792,01;2567439896,67004;2807161341,39226;2803967777,60064;3205529087,86665;3606387530,47353;4047913128,21155
"Bolivia";;;;;;;;;;;;;;;;;;;;9666784433,70743;11323147954,7643;10058754512,1728;10419413630,9165;10374494731,7223;10396827521,0961;10375287565,416;11158090087,6715;11924357079,4027;12892492847,8983;14050983990,7926;15360368532,0171;16137858909,7891;17159926195,1448;18407837842,9006;19685899838,4659;21140210809,3459;22556449390,9961;24163348893,6215;24507334131,9493;25581681000,1173;26627285699,4798;27733486476,503;28743645261,1718;30576889244,8477;33141749560,0214;36028315802,8298;38659901152,8552;42168169838,2233;43742744044,6177;45837159600,8938;49662380888,6698
"Bosnia and Herzegovina";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3170338536,0699;3926720203,24345;7984737037,91049;11146543804,4038;16670219747,0506;17899594152,9927;18487603564,0866;19498500598,2077;20537600003,5871;21549303255,9482;23216269932,4057;24999561035,9365;27988301304,8256;30804663710,9298;33972904813,2794;33522209341,4303;33368909256,0567;34533276119,1315
"Botswana";;;;;;;;;;;;;;;;;;;;1560608231,64146;2015638191,02029;2383250204,42221;2633800764,18991;2787873332,26871;3096059176,0817;3450779450,94794;3797930065,03255;4979462815,95239;5718440594,59979;6743257299,70412;7830570873,91998;8319117065,14284;9031179529,15131;8458704075,07955;9464517971,69239;9696700682,83245;11173553028,4232;13185716077,2664;13126049326,4195;13936849789,2477;15381838991,3963;15437718273,3186;17246023348,2142;18646697905,8653;19885510140,6951;21882037174,3012;23828348571,539;25407776654,5219;25554504204,1043;27375653353,7702;29568428972,2897
"Brazil";;;;;;;;;;;;;;;;;;;;405324339075,875;435266416492,827;470753014633,027;466335028354,288;508514714840,422;566627582327,617;631253832146,282;678045574387,745;699340395965,057;822723935319,19;754843503469,006;795693989536,313;811593620415,343;863229813876,992;935068831086,771;1001422653897,47;1040962314202,51;1092300570976,2;1104537323433,98;1111675994489,2;1189808981749,38;1223689729642,54;1276354277693,67;1321915385639,45;1440154387693;1537249095459,99;1656326231903,9;1815822822991,6;1945823980629,56;1967872211653,21;2144299854270,72;2261060112142,08
"British Virgin Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Brunei";;;;;;;;;;;;;;;;;;;;;;;;;;;;;8745593846,08065;9176167160,91099;9786493353,1477;10468136407,4661;10730220537,4242;11293070454,8134;12073348425,9271;12640797386,5064;12694929813,4163;12801375935,9341;13385528833,4564;14064818062,5446;14778374983,4741;15599884043,8374;16391047400,8583;16936858199,571;17566847030,2451;18931013113,8711;19609357096,7668;19628794490,6215;19508063793,4593;;
"Bulgaria";;;;;;;;;;;;;;;;;;;;24186794549,3132;27915535962,0666;30367913304,8716;32757585517,5945;35233520977,3975;37229005650,6887;39550270553,4934;42970130653,8448;48959780709,4343;48616048806,6953;43481686387,4134;40169176170,4957;41635529761,3007;41859189426,6036;43397019775,1739;45061164025,0586;37120152130,1688;38994334124,0695;44191265842,6599;45860971181,1461;49592267478,589;54295668975,8821;60920764485,9934;65293835438,0759;69851790655,9884;76142705994,6885;83131142059,2472;87443901096,1219;100827811904,067;100486093453,769;101755015390,037;104511589989,022
"Burkina Faso";;;;;;;;;;;;;;;;;;;;2107292632,98504;2394667237,97148;2782589813,85912;2901341842,60786;2965425470,4037;3315344136,11101;3662864023,26082;3757269460,76749;4108107084,54481;4356417324,30299;4504222912,57746;5076800126,0671;5192524627,20296;5477534620,80957;5652936735,63824;6135488860,81375;6979842948,01188;7536921055,26562;8200488065,37593;8930096681,12498;9290322766,37873;10129305628,1669;10795700424,0545;11912734162,6889;12802474843,4966;14277985251,0777;15853911388,611;16903110387,8058;18278275532,1691;19014950753,1674;20749294737,285;22220555172,5989
"Burundi";;;;;;;;;;;;;;;;;;;;1194320069,63347;1457448243,41417;1522937109,85354;1640260824,70645;1696638441,27825;1948963553,95423;2054793179,13462;2213372990,10136;2415368178,28609;2554045301,03754;2751127772,25427;2997414394,33564;3082164312,53136;2959639481,1003;2898830673,45146;2731045248,77728;2547732307,27689;2563753763,79112;2733085486,77995;2732120465,75862;2847168444,07239;2973094157,04444;3163702445,26101;3209719711,46626;3454637560,99725;3579489308,92657;3860248296,33988;4151219354,28882;4449182901,68109;4656097211,31355;4885370489,19929;5228731291,58538
"Cambodia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7238430384,11461;7712721707,20057;8412016502,72405;8903997196,50943;10008743472,4632;11058204038,7652;12197866730,1426;13097333877,6817;14599039346,0437;16524730033,8008;19223632022,389;22066140894,4647;24983324922,3373;27086566075,3252;27472097196,8921;29293947029,9037;32400546115,4441
"Cameroon";;;;;;;;;;;;;;;;;;;;7274298969,04289;10057016082,6744;11970461790,9507;13337479267,2296;15241798754,7077;17039803427,1514;18950899978,7364;19087980961,7287;18381328578,219;18424979102,8098;17528948813,4576;17080107787,252;17000970721,2513;16865967404,97;16683575008,9918;17614234994,6036;18817644622,4716;20132501342,7122;21745218702,331;23133616335,0626;24214167412,6886;26342886189,4622;27321200725,7319;29739880919,7816;32139626325,4659;33886810280,114;36621078316,9386;39405179057,5477;41026844690,7936;42631662759,5534;44309477825,5661;47174080820,1775
"Canada";;;;;;;;;;;;;;;;;;;;263906127171,72;296763360274,595;305459589364,811;327907863396,182;359345074392,997;388214684843,931;405244693612,56;436254138030,908;473127075426,946;502877747470,101;522421769837,199;531051937720,839;546770247208,213;572815693441,218;611811686178,304;642768731052,44;666606199466,182;708905607028,229;744859899304,714;797112049781,241;851326568057,971;884103108687,326;914346677215,212;965961300143,521;1027447738222,04;1110784515255,98;1189061073291,64;1246703294190,62;1282544380362,8;1256632260253,84;1309482759133,36;1369987015204,83
"Cape Verde";;;;;;;;;;;;;;;;;;;;138861660,263182;169367176,331515;178217722,495285;199166759,712351;217982759,048153;245180137,890994;261972968,191223;285024929,708203;313821099,285795;347349580,963865;361370765,085894;377505289,481383;397129800,93939;434800566,655188;473068708,16291;518026431,25156;560517248,819601;615872333,350687;674822255,298452;762534930,789826;826244892,710344;910924223,454385;961854443,216299;1034293492,68845;1106811843,7455;1199549598,15966;1355413352,33708;1542186268,86443;1662720371,3854;1748298237,36286;1828040450,36724;2004174026,5572
"Cayman Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Central African Republic";;;;;;;;;;;;;;;;;;;;1040526590,33789;1122183214,71505;1263962873,9618;1199231539,17391;1363737320,85665;1470530414,99044;1553073776,2196;1506059393,84775;1582674675,55526;1676828526,42988;1711946407,97301;1766791776,81251;1689271435,00593;1725771229,95968;1828507592,78245;2017409062,47259;1969032917,95022;2121934736,39302;2247921659,65605;2387392901,64354;2481518411,56767;2558514713,26337;2583221843,32922;2452566749,71657;2548753554,43408;2696016698,44356;2885296621,78017;3067697352,43974;3182191290,31037;3298404390,92206;3450518056,88101;3654890696,26516
"Chad";;;;;;;;;;;;;;;;;;;;1421178443,094;1575806729,62761;1767050318,9465;2125687992,35923;2229132566,1686;2798396394,62323;2732612598,63986;2741801978,99063;3277394941,72187;3553677550,65414;3521248408,44883;3987292551,36041;4409546193,7176;3762305809,58375;4161244307,45057;4399647276,55361;4563896800,62785;4893178126,44363;5362122380,8316;5399975292,74987;5405042569,15787;6168440489,15584;6684574187,96811;6723683069,01331;9346359757,99822;10847223161,7224;11145774203,5295;11886743062,8805;11680571752,6404;13739235525,5279;15312823624,2093;15804354002,5128
"Channel Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Chile";;;;;;;;;;;;;;;;;;;;25162497894,2652;28477699534,5829;26104522117,2455;25905615011,2764;28479057302,6136;30783475057,6956;33880720588,3983;38622680391,141;43477210310,4931;50942944294,7198;56279066582,4277;63680381441,6357;74761203615,5449;83199862276,1096;89703251721,6307;103198305861,307;113680081909,081;123438365091,756;129866032898,723;129803862365,647;137391427976,224;145451893382,244;150040853033,9;156768963129,791;166977448305,371;189172168299,919;198893354333,728;216342917377,355;238477043932,945;240749671969,033;257401116396,318;282086472830,886
"China";;;;;;;;;;;;;;;;;;;;245336975496,21;282252731579,424;327513493645,388;378792345523,947;453158411461,233;528347598516,03;586042948566,046;672703012734,396;775004836938,385;838143807836,109;905054886886,101;1021150490169,62;1188786860084,57;1380078685393,93;1594345231736,23;1783306434470,24;1999710650243,74;2234548338744,66;2430883045954,4;2653267494673,59;2951384780047,63;3261412516522,13;3631368542722,21;4101327143071,19;4656288582815,5;5325984094861,94;6228116323464,97;7349675594702,14;8247191419485,1;9079478616625,61;10080232286787;11360732897190,9
"Christmas Island";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cocos Island";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Colombia";;;;;;;;;;;;;;;;;;;;67530500477,2725;75107510723,4244;78928156881,6644;82904637494,3338;88503314537,3855;93138515930,4363;101832222422,418;109604444814,58;118809495430,736;126046568989,417;138646250001,92;147742750915,527;158856078310,61;167678641004,239;183987680011,619;198203100311,407;205009595668,432;215887231409,761;221149797194,522;215024684315,441;228101448904,4;236415177193,962;245669367144,552;258733198335,861;279947716980,051;302675324716,952;333641595003,832;366289452415,956;386258157599,979;397749812450,756;417655285976,026;452398505760,658
"Comoros";;;;;;;;;;;;;;;;;;;;190277339,554403;215543921,85357;244004994,599777;263292927,664219;284029366,435008;298053494,262047;310684676,386578;326463602,268691;344885824,707175;352502266,172597;380979889,128797;372953421,015238;420171145,703134;438968123,183891;422381940,884238;448686559,606151;449479340,82524;476373096,011865;487888856,096676;505889690,67389;524574745,986846;555186346,667551;583952100,596436;607279835,553045;624806286,469666;674997705,937319;708139656,051413;734539696,106496;755253456,434944;775765458,153229;798881848,282883;841900462,761784
"Congo, Dem. Rep.";;;;;;;;;;;;;;;;;;;;;;6102042075,97247;11495418903,9698;11947328248,2655;15172784731,3174;14476823604,7952;14803326780,6014;14738387889,4943;16094230835,1702;15354885959,5996;14407102468,9608;13123117990,0351;11936695877,5617;10972115240,1722;11085579492,1694;12084624368,3519;11600484303,9672;11619184635,6546;11036280221,2519;10422833421,1606;10461662432,6746;11411470483,7766;12594708145,7881;13642764179,6208;14782725096,1856;16411845184,4615;17752967331,2454;18222373820,7316;19873614051,1625;21560130697,864;23379621246,4628
"Congo, Rep.";;;;;;;;;;;;;;;;;;;;2293464830,5917;3075782747,32592;3999976084,07516;4312965795,63014;4917796330,46014;4978962329,53578;5148208947,04857;5306838963,57036;4737306522,91909;4964493884,9893;5093707055,84132;5432393845,66076;5928229174,615;5926946663,2159;5681942431,75066;4100626439,74591;4294713739,72893;5432945647,4442;6063575931,0893;5517403852,81792;6132849410,99439;6463455575,90055;7138253178,22624;7439011389,94442;7287706242,51353;7913759490,22298;8643148136,91326;9116691188,1698;10574004417,4658;11299620048,4821;12841419378,5015;13581360382,277
"Cook Is";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Costa Rica";;;;;;;;;;;;;;;;;;;;6816465118,43205;6801962439,1055;6340439822,21538;7350051076,85351;8259736512,62346;8664006360,8681;9458076462,90317;10395084124,0147;11112870151,0924;12077003571,0784;13362427563,8487;14295219305,5465;15944827306,0339;17503946734,6188;18928941423,0972;20005317135,4668;20616077095,8677;22099673628,3267;23949473818,4466;24062696525,3865;26074712065,7151;28024597322,4187;29477653400,3895;31872412232,9025;34132224550,2791;37439330120,0177;42346282025,4645;47212580729,3154;49731269998,2389;49490491073,4127;52577979037,4549;56493675843,4307
"Cote d'Ivoire";;;;;;;;;;;;;;;;;;;;10116498748,1053;11292082859,1774;11882697378,7732;11497723801,7203;11977739141,4192;12540235398,5674;13566940334,9437;13720422416,6314;14287643406,0675;14437501834,4167;14733825366,941;15531967755,4868;16002574456,5489;16264925561,31;17315243807,6037;19050661279,1629;21215061064,0128;23208926051,8374;24700181539,3777;25318541268,2459;24840763576,6707;25597656857,8862;25665097782,3604;25984804130,0484;27367136979,3311;28700361364,5578;29805867219,9634;31202009514,9012;32728449362,6955;34261490564,4903;35504428999,9558;34771857751,8231
"Croatia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45404176016,5856;37128207812,9392;33098213943,429;31189905798,7916;33755022048,2379;37291242997,2213;40379033529,423;44015471179,3479;45123904847,2231;44441141924,1305;47433274220,0356;50829719096,9539;54928436715,0542;57608295797,895;63052737644,7926;66326420035,538;72499560122,5776;80951442514,281;87126312313,358;84319491778,1553;82545810306,9151;85195805774,5813
"Cuba";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cyprus";;;;;;;;;;;;;;;;;;;;2624282294,03545;2935121877,73872;3297104711,57667;3575338673,38736;4043110672,34486;4376581292,41928;4632659565,46901;5165372264,8551;5805373984,18473;6518755692,4063;7271174566,90345;7577391926,62396;8429202899,18692;8690642158,62402;9361788067,81794;9821063969,68341;10233518368,5052;10609406033,67;12382524845,4791;11920225370,3598;12613012673,0305;13881387772,0076;14679610346,1587;15404554138,3868;16421927124,7313;17728792730,016;19372103214,3295;20714947868,2192;23626918416,7193;24599847626,984;24843738451,5582;
"Czech Republic";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;121550285047,866;122956740667,329;128761044465,429;138615487309,384;146162667068,279;147055210647,545;146868147278,989;149543740250,216;156975978812,966;167289992338,64;172663155580,597;184798688223,895;195244457618,948;208484614656,674;226606389796,868;244033226447,992;257188755589,574;250758423764,383;247756587151,956;256038259284,359
"Czechoslovakia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Denmark";;;;;;;;;;;;;;;;;;;;50821157561,1639;54620265061,7746;59672832642,7306;63816044031,4029;68632999285,6772;73491428237,5193;79073368467,5843;81920360447,595;84464378233,9844;87881776339,8317;92533678565,6118;96979320614,0823;101663355948,12;104512990089,189;112722514929,204;119074535227,824;125064694322,706;131707572657,378;137107381938,624;142064259191,247;150646122172,704;155444557605,861;163392827214,927;163012313892,721;175262560826,584;182397082911,388;199652103014,396;208182142632,44;222270206816,281;214907579802,069;228095951891,888;235781540823,356
