"Total GNI, PPP (current international $)";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Djibouti";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1148616552,73049;1169787952,62355;1124418280,65616;1119709699,62127;1106791598,48168;1076992210,99127;1081523691,72546;1093884080,87608;1136896467,93856;1172656156,71006;1215702267,44244;1272814317,67354;1414563145,41405;1531752256,54806;1628194823,16997;1787187720,12876;1921010241,28482;2054448652,57397;2132326235,33181;;
"Dominica";;;;;;;;;;;;;;;;;;;;144648666,629158;177760414,674567;195457380,135943;207039041,575107;222797383,93777;225043640,674942;254276330,499312;276890733,167098;313670360,706796;318985299,328085;354784243,11157;364216504,421519;381123526,718751;398741081,253496;404426215,408867;418246120,084973;427746984,391303;444230508,387195;482597993,67723;472804213,489354;459510776,556516;493062289,954234;487043335,27225;538481534,070747;564870401,666146;587945437,875479;663143371,009739;702774918,212793;779470537,36828;791156069,234329;810079859,581577;843002334,75091
"Dominican Republic";;;;;;;;;;;;;;;;;;;;10087064111,6512;11402591200,2068;12410856958,3915;13463270988,6751;14141471694,8345;13840994094,8353;15012749459,4646;16815253518,7154;17616882637,6865;19348122083,1027;19032769023,7238;20020732216,7401;22562198038,4449;24325336359,3075;25572647282,9767;27604618915,0497;30319050974,6504;33355536359,6201;36140787582,4748;39016375617,1445;42182033648,9794;43897727575,6083;47217532770,9132;46976411790,057;48025554988,7451;55802818108,7218;64047100013,1943;71577207923,5901;77876700461,9497;81577365817,1436;89203091613,8638;95391911630,8553
"East Germany";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Ecuador";;;;;;;;;;;;;;;;;;;;20880606251,8298;23444891424,3286;24287465255,8816;24548165244,1548;26056206693,9804;27220192219,9585;28721204793,2077;28398576916,8713;31549238406,9046;32956162006,006;35430082131,0932;39340665378,0913;41670163883,5063;43710441262,9949;47020610048,7168;49208838612,8824;51156563782,9768;54521185311,3395;56048758687,8217;51714992966,1182;53716071106,9412;59496110827,9146;64234815734,6486;67664394039,8671;75345102824,4477;83116856912,5437;90374419625,3389;94998683217,2968;105847507024,238;107399723264,126;113502633257,573;121881090833,642
"Egypt";;;;;;;;;;;;;;;;;;;;48302714978,1786;54379238458,6209;63505712283,7295;71129043060,2535;78248033122,0118;83441339427,36;86443239620,9888;100748259846,703;110554393340,813;119583553838,21;129498768780,574;137540508943,217;146963698037,213;153839763035,403;164849844241,308;177346151779,639;190553564112,95;205780214732,273;217516453633,719;233435173873,633;250855694597,862;266044252983,743;274067422492,543;288089856746,523;307899373601,276;332275442757,207;369323152916,428;408619695634,667;447247298970,188;469668201989,146;489151308775,522;508213534568,727
"El Salvador";;;;;;;;;;;;;;;;;;;;9491141935,84475;9242061525,19665;9130372927,02668;9615112733,69189;10117361245,9626;10554088135,6946;10807960711,8271;11403256043,2466;12049711685,0761;12637113005,7935;13842048800,3841;14800024131,0445;16361689986,4932;17910499425,942;19491211719,7807;21279777562,1578;22047241588,8854;23298101415,5109;24538392778,2697;25520382899,6675;26725491718,3348;27799522221,332;28812766211,0914;29926563769,7708;31309410095,0043;33511566521,171;36134586731,9384;38644992562,382;40188904126,1466;38992577757,5202;40030319963,7918;41654403633,9289
"Equatorial Guinea";;;;;;;;;;;;;;;;;;;;;;;;;407689706,611385;404735586,561353;437468024,16762;460788724,430553;468319145,501305;504591860,252246;514783151,507537;599636279,665628;668058645,944694;668780698,179809;793036383,498331;878185906,626197;1627805536,03537;2139934369,6746;1651516565,59281;2824932863,31377;3296988482,80698;4358289856,96822;4418956132,65531;5865738603,17196;7658025588,9861;8573308378,16122;10460153758,8227;13873843139,1601;17684526360,8992;15394007473,1305;17362565137,6212
"Eritrea";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1092860640,94415;1267085878,59435;1567841869,73566;1671100241,68935;1813832750,50999;2008082896,01803;2094047670,7033;2131532828,07246;1876745405,18964;2317335370,17078;2412098049,87843;2392494577,24837;2488801161,93276;2651395441,20501;2714436282,42783;2837883631,8766;2608442349,26044;2736250562,30057;2828526578,12547;3159088140,89763
"Eritrea and Ethiopia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Estonia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9102024087,23776;9871011544,05395;10901871815,9834;11590635584,1997;11905252690,8526;13092971619,665;14018964747,8145;15619176109,1266;17191574481,4231;18974547809,9766;21427645203,8466;24400219475,5433;27050916651,1471;28119123940,6518;25767996167,8058;25966333012,1226;27909816529,7538
"Ethiopia";;;;;;;;;;;;;;;;;;;;;11351832796,4779;12151686203,2422;13666487575,2591;13765020648,5764;12590412305,6826;14120000526,1451;16524740463,4556;17162579397,0605;17720965693,1953;18927441780,8207;18174788764,983;16937466418,554;19487675763,9418;20507333238,159;22351760934,1163;25646404177,7376;26803456905,1781;26311346137,5176;28119067352,4716;30451489934,6693;33763758510,5554;34872863945,9021;34746070466,0547;40628662860,8251;47099600259,0601;53906969525,4066;62026341437,2704;70238855394,2785;77076290044,3057;85511455042,4062;94252922932,967
"Faeroe Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Falkland Is (Malvinas)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Fiji";;;;;;;;;;;;;;;;;;;;1026268530,25282;1200818908,49993;1171768947,94161;1176055530,93753;1324402106,01573;1321633178,52242;1459846588,12574;1399004078,2445;1455178925,94225;1617973145,26562;1742181152,51064;1765209704,02148;1904432972,13118;1986629167,96483;2099540490,91373;2265107716,83369;2432634194,19079;2413243456,25031;2439396194,8688;2693498502,8529;2853686795,74188;2894613601,61467;3086042899,96434;3158542146,90129;3418334124,23608;3607411989,35245;3592879669,99442;3729568984,25323;3843268991,46892;3914424930,1746;3842349186,93255;3983889099,77001
"Finland";;;;;;;;;;;;;;;;;;;;42286905198,5039;46600891672,1239;50800850280,6751;54404770657,1838;58295420080,6422;62222185718,8152;65495589686,9268;69730858544,8525;76062881332,7315;82128902748,9077;85320481062,9102;82286341009,1881;80359117257,2284;80910660552,9434;86694261035,1237;92937405529,0942;96189047631,3276;105818041516,986;113657019616,95;120390792543,138;131879596647,583;137450002222,007;143417724401,747;142870812581,426;157306696733,188;161838723337,594;176181146440,032;191360298295,846;203381816706,593;193617824181,138;198965603003,73;207402908915,566
"France";;;;;;;;;;;;;;;;;;;;526260515351,527;580536214147,04;628159449949,775;656847412318,044;690575914784,676;726518178001,544;762245763853,898;805768310413,246;870735968470,831;939653203815,209;1001869973431,88;1047070686891,3;1090439089386,78;1108885525012,17;1154970738732,06;1202539183756,69;1246409245585,67;1309465474997,93;1378583887997,75;1447215211484,42;1555029363974,14;1649692760586,62;1716400491637,31;1709399125704,07;1784355070466,13;1889806062800,52;2027824215590,72;2150850789819,74;2229835833623,3;2211381668775,72;2263012393316,67;2333007233724,6
"French Guiana";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"French Polynesia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Gabon";;;;;;;;;;;;;;;;;;;;4994307735,00378;5830459393,75205;5983265699,33899;6565700212,30477;7516869953,80376;7484980404,31406;7594584682,38366;6465875379,87098;7563603777,07866;8669623957,52462;8989639717,45788;9874310431,6415;9469186751,02253;9892012166,01351;10783381553,4644;11381256168,9356;12005179727,6147;12931326828,6149;13876537015,4211;12719244854,9134;12290104624,51;13142449282,0493;13880026557,1758;14190291759,8053;13978329681,2131;15867759747,3578;15978698263,254;17632712793,1182;18460711965,6912;19000410298,436;19681524853,5242;20948901492,9283
"Gambia";;;;;;;;;;;;;;;;;;;;487394727,510245;550806017,038405;572334507,376358;636095700,578476;734783731,73356;720686051,429393;672365668,595088;860527568,367741;923764033,323966;936408818,181893;983900762,713779;1107432126,13888;1172741557,26994;1235779051,7632;1264068533,15043;1311045777,79518;1364710944,91022;1443452718,46475;1514099400,00319;1625629283,10114;1746388050,85432;1876189769,56535;1822358436,31898;1979629844,15325;2180362101,2671;2240105246,4069;2380186915,79272;2640315319,10622;2904925034,88488;3132315396,71069;3384477229,93063;3657785329,86522
"Georgia";;;;;;;;;;;;;;;;;;;;14630339365,7078;16844414611,2505;18228393955,4579;19764618676,6775;21619806911,7564;23381074986,5027;21949649858,2995;22882425541,0583;24994784768,1091;24069573005,3778;21287969892,9745;17366994193,2554;9705295895,81966;6940172197,91167;6339269253,12324;6475071917,44355;7491973287,15788;8951794725,71539;9510556026,41161;9915858787,82727;10184191649,0801;10618267539,0371;11306376218,8609;12820665373,1126;14120138048,8074;15899402632,3624;18155610446,4565;20628513337,0813;21294517656,5058;20732755041,0643;22036768496,2166;24164749257,9623
"Germany";;;;;;;;;;;;;;;;;;;;777390564338,128;853284184909,219;900897180846,132;954235259214,371;1022007861968,59;1077817257877,84;1124372342457,15;1171867258243,07;1263568308535,39;1364214689981,61;1491298530643,63;1611545580687,32;1678880521103,91;1695197146712,24;1760924776548,36;1822675802058,06;1876748513988,58;1917374272506,16;1962003263126,97;2027041082539,39;2095454256598,81;2174208700748,32;2233346956785,51;2319970016227,47;2469966533225,54;2595055739076,93;2819799020393,25;2975552218890,75;3086919063239,29;3014317896264,1;3116944312097,78;3266461750352,81
"Ghana";;;;;;;;;;;;;;;;;;;;5155282713,10045;5447439883,70019;5381649621,25284;5305432299,45185;5969144278,06453;6420248636,71311;6873902899,62487;7375496685,03345;8078236024,76113;8833887036,18684;9506653813,29882;10355694064,1896;11005137783,1337;11764686654,4206;12380542639,7833;13186867411,3973;14036193724,0666;14927004363,6276;15833946887,8179;16757008049,4486;17603185906,0429;18899010544,8289;20056739027,1458;21530432998,9949;23358639881,7796;25822133932,624;24533913606,1621;27314172916,7882;30991057879,2896;36498060729,1799;39362831323,8747;45527662536,1196
"Gibraltar";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Greece";;;;;;;;;;;;;;;;;;;;81841322167,1882;87727804608,6159;92189303335,102;94424870739,3875;98900600192,5444;104186951865,241;106451448916,459;107734167207,006;115969207844,145;125145404883,892;131673496018,835;141148857894,657;145963408622,606;146304583152,652;152406145708,464;158875531769,695;164893171481,473;175411206854,832;181304186708,945;185276249775,828;200012698025,327;217834913562,233;236064172969,845;246838595653,31;262395442698,118;266429561887,147;292301815380,036;301397708025,199;321428287171,978;323458923710,989;312860356900,046;294926069667,095
"Greenland";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grenada";;;;;;;;;;;;;;;;;;;;;;;;;;290507716,291696;331233904,671034;352704817,210215;388745278,978451;419346227,380858;454888922,273648;464979484,088054;457466619,275765;481989498,447304;497570027,454466;525404603,278051;557664599,126572;594432194,548382;663134113,237546;766521395,833637;741255417,509008;762469308,655995;846490941,206808;792541225,609202;988782369,237977;1000311825,32166;1076709430,18425;1115734285,09201;1034048219,84278;1054852760,28387;1104272986,95586
"Guadeloupe";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Guam";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Guatemala";;;;;;;;;;;;;;;;;;;;12937178018,0689;14179926973,7411;14467738313,2746;14661948935,4469;15143228678,0845;15579449755,1018;15753980546,7371;16864633521,063;18183749078,0478;19635270836,9095;21032270068,626;22753171565,7683;24371181459,8515;25915956074,1876;27466861557,6567;29499699596,0506;30791722029,4312;32795282344,7505;35113149139,4298;36885279064,5176;39013371069,4816;41160578154,2865;43027818738,1675;45019481518,3789;47585588662,0995;50731582394,0781;54921934961,9084;59941845798,9065;63325997122,9365;63974329263,3678;66604567112,9947;70791246220,5099
"Guernsey";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Guinea";;;;;;;;;;;;;;;;;;;;;;;;;;1806654869,25562;1958632865,63989;2168024175,47011;2302976351,59437;2531266743,40869;2687997939,81352;2870683016,05972;3138018422,31285;3341896970,2634;3572576799,1498;3819860724,18774;4040711477,02835;4280842753,53089;4601250616,38461;4785682213,67331;5008232959,90004;5387690518,91074;5444412377,4149;5704437513,59545;7910987531,76695;8232339135,47187;8811238968,43437;9220707036,98266;9365374093,08316;9834236246,65862;10748570351,5642
"Guinea-Bissau";;;;;;;;;;;;;;;;;;;;341583273,113212;461330786,592693;508025721,208342;516365737,050534;585700451,786374;697662628,807611;634070248,477675;643547512,20226;687038683,779568;758883903,641854;848212765,384184;900085558,821818;935578500,780524;971042117,229443;1027754794,04641;1084910098,19184;1235082057,25677;1360938219,12632;978031216,684249;1075039008,26416;1188440070,41259;1188305983,6358;1167564299,23952;1205265378,32823;1275210166,22981;1362777976,48136;1451892962,96686;1547939556,233;1616260945,12472;1688847864,99513;1787542855,08393;1934966635,42046
"Guyana";;;;;;;;;;;;;;;;;;;;710381590,456765;754722416,430802;680760331,078923;648703359,278436;620737666,691623;667539906,347157;658062084,600508;612540728,00386;636029062,971458;548986226,372566;568006621,991141;638200906,03417;755020277,528469;923472091,711784;1076820758,68155;1185807545,36347;1315473086,8743;1387810457,15827;1390192327,69574;1477627225,987;1502441200,40629;1551001093,87869;1607466373,61467;1639127907,09182;1606586075,40822;1845806162,16966;1992164408,01076;2215517810,84256;2339687875,26196;2441442067,61296;2613641033,35235;
"Haiti";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9284485526,59888;9733916665,71801;8763509773,60273;11013648705,3671;11102220093,1504;11542275319,0181;11168826631,7006;12006564670,2923
"Holy See";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Honduras";;;;;;;;;;;;;;;;;;;;4622131094,08287;5215609660,207;5349855025,97343;5628976666,3913;6092587473,36818;6553625575,52455;6718991300,54846;7273750535,3903;7924436056,42542;8614703859,06011;8610378868,8425;9156115107,11155;9778836789,40891;11065156899,4168;11179465954,1027;11736915664,7388;12414810736,4625;13548456812,8145;14217054771,1598;14296888843,646;15583353047,3813;15926053568,9138;16780923771,8484;17997608990,1922;19524324510,4903;21475703570,5618;23573920759,9964;26226000957,8442;27780620264,3389;27480576273,1812;28525312545,9631;29784642012,5488
"Hong Kong, China";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162807614852,054;177282621922,6;184977512933,257;188155501877,327;201568214538,927;223692560868,532;243370362538,676;273514291757,567;302062998934,568;322678438553,295;310402059787,454;334078932382,507;364102552862,509
"Hungary";;;;;;;;;;;;;;;;;;;;53884926784,3023;59460267501,3008;64117690588,9545;67944711575,93;71953151046,2977;73939414313,3724;76778956894,1031;82434393571,2789;85345176686,3571;88325469568,1646;88820605550,6755;79596458209,9624;79542716900,633;84226164220,4874;88161850329,999;89886816650,4311;92263457779,6182;96866143253,3537;103225318376,183;106809687557,538;115324361120,357;129585385365,255;141269717749,31;148198683315,108;155058681737,036;161981831236,227;174360259411,459;177092652759,202;191948847763,729;193086665058,641;195554194761,404;202035157245,257
"Iceland";;;;;;;;;;;;;;;;;;;;2686312908,98669;3042310981,50392;3277510545,19398;3308109109,00531;3552902142,27871;3803843552,87875;4161333669,93935;4698306398,16318;4844850007,67174;4989660460,13352;5251881959,89875;5465688407,81986;5428365283,73662;5610179643,73836;5893801437,70454;6040347329,8317;6355165547,88286;6913843953,36491;7457153454,89894;7780803812,40301;7886740815,42539;8403920704,88291;8923890988,95971;8763230315,56772;9468728233,4203;9979827189,83363;10268348651,9562;11004024140,9136;9903629397,7746;9418941840,68035;9338397997,13564;9812596854,00847
"India";;;;;;;;;;;;;;;;;;;;294613387258,645;340870965718,491;372917773646,096;415550780035,515;446989429440,734;485142858860,673;519349569958,532;554902422464,795;627496429481,548;689056547653,75;753655073455,404;785840711050,547;846314038068,934;907319802904,644;988481841036,809;1089768326622,86;1194934412602,92;1268343596024,66;1365838525171,52;1504109345780,02;1593206503285,14;1713230527593,36;1812642671665,02;1996443482039,09;2214557101566,53;2500080158147,64;2817915403694,69;3195443115983,02;3387278124900,02;3705239226881;4087748407285,46;4491066551322,04
"Indonesia";;;;;;;;;;;;;;;;;;;;91344858644,0748;108965859785,358;115006414405,896;130686297566,023;142677010363,255;153135777726,325;166172704987,679;179661559575,948;199147770506,067;225721265372,38;255199806075,777;260901368876,959;288895885007,704;347624876878,142;385908993862,541;426901888596,426;468923048312,354;499170225471,423;427440477405,944;427976281704,08;452326502477,639;470450363648,095;492433381548,299;575012655903,545;616113542270,171;670844893054,652;735230241864,593;805791583320,795;878228582429,939;929169912647,605;1005225271358,22;1098924981963,76
"Iran";;;;;;;;;;;;;;;;;;;;132919349827,37;137854790968,054;164505143238,521;192474573923,64;196504488908,899;206242937115,023;191690271088,333;194442499427,505;188760821254,77;208210290453,117;245486186581,58;286642902170,851;305189485511,027;302036708585,675;306025867566,604;324763758441,806;354196367727,005;375108998351,124;391911795913,982;404387803256,05;435123879242,567;462096477727,813;495138834467,507;540201433232,063;584748846115,474;631733000465,718;692100952633,267;772100131690,373;809934760048,879;833429516704,591;;
"Iraq";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62683243016,6602;73706162204,1925;83289882254,9971;88831474801,3816;101795281771,896;108904319317,108;110729424121,26;124321546219,444
"Ireland";;;;;;;;;;;;;;;;;;;;21250978800,8225;23861564773,5419;25218746786,4808;25849232757,7351;27386063009,6444;28750204872,787;29491308510,3073;31846836551,0058;34247909605,5133;37165990344,4695;42335602443,5981;44865587429,8734;46863934422,56;49399560337,5522;53580888117,3832;58956472698,8042;65215873861,5802;71962154200,1615;79897579847,9499;84759626179,1322;95002854580,6269;100704231774,654;108738656873,267;118964575745,775;128372936844,91;139578752883,155;158878503661,817;171844769659,914;163931394991,231;147757731772,311;150169388489,262;149118965095,527
"Isle of Man";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Israel";;;;;;;;;;;;;;;;;;;;27952698026,9065;32672412223,7073;34100886131,8613;36631207965,1184;38321285211,6225;40523884887,5644;43055355388,8918;47376342790,1032;51369818410,6055;54675698832,4439;60791316632,6337;67118568119,913;73439235213,6613;78253383629,9239;85636136744,9955;94661899351,5985;104262190666,395;109834719719,036;114398093636,705;118321686101,892;135061486077,262;143427834609,96;148342476954,041;142789036462,397;156692659399,497;160052733865,661;168153582767,176;183259475618,399;183293634438,937;185690610405,671;196372676294,346;210599676915,567
"Italy";;;;;;;;;;;;;;;;;;;;521220363511,137;570549379915,354;607183870478,212;639458411657,499;684752164922,869;724493809186,896;759790652512,851;808705298675,445;872085444960,881;933680231405,997;983048599516,264;1032025612910,41;1066444272476,53;1082551060272,07;1127291380181;1187512668283,83;1230110579274,47;1282231063434,66;1346656064221,52;1378794861087,9;1455575262822,57;1543655030756,09;1529461117364,37;1560030676596,76;1595877564013,56;1657879368497,54;1797173478997,96;1902296952746,34;1974941038176,06;1932259880856,26;1920405954399,27;1987729652990,34
"Jamaica";;;;;;;;;;;;;;;;;;;;4890095485,23762;5641828623,87672;6124442625,3434;6322764560,30404;6203833426,82344;6138827795,07089;6597431872,89259;7276550059,81014;7970743722,54556;8956607837,62858;9531737454,4008;10247194960,5945;10879196242,9936;12774090190,2374;13073744769,9956;13788649727,3677;14337968768,2659;14483530709,4983;14095933449,9208;14417740704,2398;14835324032,6238;15199756031,4757;15380984197,8137;16526988768,9382;17289369699,9885;17957688916,3497;19377154386,9153;19979660376,1589;20298124626,188;19844082977,2188;20194806756,1668;21051986734,0835
"Japan";;;;;;;;;;;;;;;;;;;;996850891827,823;1134079312333,33;1246456289473,08;1336586578086,74;1449724545543,1;1591380749598,35;1672558854805,43;1796146132620,3;1991431405694,98;2179641415144,73;2389174829022,53;2556810588289,81;2643571197821,42;2707050035908,81;2785327606514,73;2896451002083,86;3038931256070,17;3148252292957,98;3120576307514,87;3159013405661,47;3343127667300,71;3438587431969,54;3527675230503,54;3630190969843,04;3817449779755,44;3979979312515,94;4178042294743,87;4406655872232,91;4430798872145,82;4205289687551,04;4436507264628,78;4541095028924,12
"Jersey";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Jordan";;;;;;;;;;;;;;;;;;;;4142976417,65084;4779537972,74798;5443697148,5432;5714281539,07819;6308315357,79532;6687755252,90757;7265194837,13387;7619227111,42196;7601206370,97765;6853680653,09546;7135248998,26348;7250709870,09824;8986327513,20945;9713848788,87132;10458720813,1316;11473050341,0804;11888310343,5317;12716996821,002;13439217357,2427;14076950206,8067;15462956917,9423;16747799044,9318;17828082465,7229;19052765025,9191;21502294182,9365;24083501673,0391;26963434784,5482;30300726778,2414;32945926418,8716;34769505595,7734;35109703936,6949;36898591837,6335
"Kazakhstan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68976642455,6673;61351859282,6446;57481013387,8634;58594630920,5469;60509749868,2103;60215676643,2843;61484351479,2639;66483592184,8766;78223411745,6798;88215730811,7146;97327863897,2825;108542025463,641;119386957296,982;132998884226,339;147874581586,5;152345652667,78;162259542690,81;173284825553,74;187329459210,476
"Kenya";;;;;;;;;;;;;;;;;;;;10352869052,1695;11741182785,1383;12536558320,6715;13309048940,5723;14035702671,7911;15067690621,5817;16527669048,6208;17984325358,88;19690780992,6755;21596582204,1915;23037844354,1031;24083625466,6394;24461895276,6534;24576876709,8191;26065108198,1019;28295423270,8985;30507868994,4091;31422755136,0335;33043052110,6646;34155543382,9394;35217331114,7136;37333911024,2443;38229092986,6248;40102203156,3888;43436935823,0633;47935525344,0589;52465786636,031;57638728248,4031;60040804541,7077;62301004850,1344;66273699803,2223;71728066834,4247
"Kiribati";;;;;;;;;;;;;;;;;;;;79374856,4482252;80496117,1670001;104612615,917039;121327580,69381;106945891,620726;115249798,171085;124815000,52109;126789678,148139;149061786,594385;146160488,201663;171385090,334137;158823480,795333;163427090,841872;164815746,077474;177107563,875346;189240545,708427;176046524,747882;224034758,481523;265716671,438533;253801456,264752;283048472,468606;299490885,517353;297635442,322716;299100440,965302;314651376,453;324118719,910584;339359774,609677;340570528,865646;354082794,809745;324648495,16507;350131065,662892;351817751,159107
"North Korea";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"South Korea";;;;;;;;;;;;;;;;;;;;89063637325,3489;103408464784,643;118482033963,874;138685163372,911;157459843035,976;173801274685,395;199533586858,444;232031278261,831;269525468447,729;299989661519,772;341007175494,344;387498002451,238;419073491606,683;454000202568,041;503458665864,251;560148795023,218;611362851789,127;654905754434,105;615277412328,354;693284108871,752;804280007668,421;857579966616,004;936636428432,462;966622932706,376;1041869971519,96;1095709390430,43;1174646227990,61;1270816944380,85;1316140841093,1;1330400799922,53;1424679225271,31;1510113651617,72
"United Korea (former)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Kosovo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Kuwait";;;;;;;;;;;;;;;;;;;;30734951530,0113;30399661526,0413;27612947988,7638;30817792105,8927;33351829634,5569;32542136026,3709;42188814111,8264;41068055153,1062;41053711167,0319;53523878822,2543;;;42858119666,5409;53850355117,5253;57921114595,7046;65017569967,799;65716482041,1846;71139916047,7422;75973803445,1466;72224703527,1062;77774866061,5217;77589778168,6033;77418864441,6575;91298353431,9954;105087746809,026;120261161260,888;132885889992,631;142738102604,22;148274109487,121;141144145556,887;147286887192,45;
"Kyrgyz Republic";;;;;;;;;;;;;;;;;;;;;;;;;;;5838403750,78719;6839226940,03328;7294662982,28914;8003095799,70571;7616325411,89777;6704628877,3358;5776177662,45257;4661413610,96774;4473504410,23634;4874026499,7358;5376886754,59383;5501530039,45224;5718559061,0859;6155173199,58096;6778530700,14437;6907164715,13744;7577305497,5562;8220197848,65417;8567961593,56053;9297017989,93745;10419269740,5419;11295325730,1883;11679033583,3256;11272142946,5807;12628803814,2545
"Lao";;;;;;;;;;;;;;;;;;;;;;;;1823570067,35053;1974538971,79107;2117304744,76654;2148267447,72847;2178389632,80615;2581157225,7535;2858668659,05155;3082815014,77154;3322759637,69827;3596374543,65626;3964343336,46713;4332105671,22888;4712692411,17016;5027757954,9086;5275598416,91891;5822321809,21433;6131995329,71313;6644690983,32976;7170431863,3055;7608792881,35342;8452616494,98398;9519318682,73786;10332758331,864;11684997553,0923;12717958515,5237;14087634434,4014;14877908528,1128;16327890711,4725
