"Total GNI, PPP (current international $)";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Latvia";;;;;;;;;;;;;;;;;;;;10652087421,0172;12143436982,6301;13186100623,5838;14423149933,6456;15839520733,9624;16229983790,5376;17384067250,1535;18317744852,1803;19933937293,6243;21835564248,8514;20865301638,1125;18866493312,0398;13092745802,751;12741588412,603;13272610971,4715;13481360901,8949;14299430289,1285;15802433572,6806;16839238286,3861;17556181676,274;19032490281,3342;21045781441,8434;23143049202,806;24610850100,048;26547922716,4577;29620207985,2747;33294941680,0328;37843913736,7244;40591862631,0423;38812763497,3027;37229924682,3617;39557878380,0464
"Lebanon";;;;;;;;;;;;;;;;;;;;;;;;;;;;;11662830983,2658;14893957702,5462;18921066205,0287;19440103129,6548;21014610089,5516;23207996378,7362;25494125462,0926;26942139038,8257;26599998171,4256;27623255299,5676;27996391935,7832;29176709876,9352;30323834154,5137;30540928222,523;27949805760,5443;35865651974,1926;38552594749,7517;40710012858,6431;45987280477,7974;50613063996,7858;54346779059,4367;58435378554,0795;59623069442,3827
"Lesotho";;;;;;;;;;;;;;;;;;;;838957279,776964;957723813,258252;1158030078,74089;1199414885,99374;1370321754,26579;1398732854,36774;1433201545,10402;1471648254,25266;1553029712,17323;1635631827,1016;1759873111,40449;1816970591,3976;1882961603,29585;1900710600,7588;2015427527,4333;2052763008,75068;2168955680,9859;2260206692,57066;2318525477,20583;2331607715,9737;2502706746,38996;2572977669,57193;2636430780,14158;2837436365,25488;2939465443,5269;3406536507,9968;3517604795,26747;3667322676,44707;4133534568,46176;4276854133,1458;4305581050,30512;4536523442,21083
"Liberia";;;;;;;;;;;;;;;;;;;;1260992256,11217;1339705233,61477;1316960375,89441;1205239961,26106;1266001041,52073;1289992687,98178;1211154098,26346;1130555664,85965;1148251047,30459;802226639,56863;;;;;;;;366188628,834095;484103766,25713;512038539,443579;844117899,57555;767752510,851557;1028609707,61465;641445252,656796;642424910,166176;800726082,158335;933162082,121655;1174677603,99551;1362409847,54039;1601137913,9456;1749588470,09175;2141990813,07569
"Libya";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58273002686,6575;67838450638,1202;70691521890,2907;80348150610,691;90080557410,3328;99462762258,3874;102696436773,847;104919854431,71;;
"Liechtenstein";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Lithuania";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34525449698,9218;33672607720,5777;27123222877,4447;23202634501,8921;21365563241,6045;22517207932,7633;23782708858,4563;25673440732,9404;27790467984,3658;27585352597,0997;29639244402,4271;32758139126,877;36204759111,905;40460394258,5207;43337486269,0408;47962798499,8986;53676118896,5576;59437057611,6948;63989733943,8131;57976990716,1064;59199420852,0418;63073602607,4018
"Luxembourg";;;;;;;;;;;;;;;;;;;;3972599197,2503;4490773669,68014;5280098946,79986;5794317920,61194;6306519206,96733;6731544088,38284;7382396466,37161;7988464507,86127;8793432094,83948;9918471586,56171;11020736518,4027;12489765210,318;12950480027,6459;13530257960,4645;13815725202,6434;14750282636,7109;15527252077,5777;16508591844,7454;16906393678,9001;18981278454,5093;20400814668,7298;21137319235,4282;21295233761,8657;21256052499,0163;25997709968,9363;27292893941,1467;28220500308,8555;32636803903,4391;32805150872,8078;27729282045,802;31065583763,5051;33297469176,9972
"Macao, China";;;;;;;;;;;;;;;;;;;;;;2758364427,94376;3163496207,96702;3536127081,30341;3667670753,79492;4039571036,42847;4706070263,99912;5228173278,31936;5657707311,56694;6247835161,02583;6712242386,42732;7683970758,15424;8201024424,32938;8715887789,69102;9090772875,29098;9115421246,59133;9288982292,69864;8998683166,31444;8785990225,25707;9295905382,76234;9176390398,7014;10641149725,3344;12033562998,9893;15132875592,1549;16782396759,5019;19026278253,4634;24871246376,3494;23562245218,9416;24620257525,4324;31022652182,1529;
"Macedonia, FYR";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10502424952,2492;10252398655,7876;9536011981,7047;9099523130,75598;9200375064,45145;9355635006,41788;9607569034,08491;9904258618,35287;10400355949,9736;10900205719,5296;11707563344,0828;11668402338,1853;12062399563,1836;12873138608,9773;14173423143,6942;15736820866,1747;17834104860,2566;18537396650,4286;21753294377,7292;22899869866,7942;22866139982,4118;23715131539,0418
"Madagascar";;;;;;;;;;;;;;;;;;;;5273030137,81632;5149601037,33461;5345180914,76968;5572562810,88374;5761711551,53522;6042294805,55801;6276410199,6404;6430091951,40271;6809994372,95367;7312602292,39051;8105781302,85116;7664636414,95068;8076504190,91078;8468441190,98907;8548209470,6642;8889884671,58145;9344366434,09871;10017255467,2733;10622720354,3846;11378034800,9257;12092947301,0029;13178944372,0616;11659000287,3177;13091292982,2072;14115166969,6734;15295582802,1479;16599135112,8162;18276758331,5462;20053949001,4871;19234749817,284;19763121629,5285;20335857593,0576
"Malawi";;;;;;;;;;;;;;;;;;;;1885756023,19422;1982555170,40497;2173455594,63215;2347039368,93917;2597902564,97398;2797898735,25308;2840801498,5779;2981413582,02845;3213653342,61187;3406405434,47296;3768976170,99883;4245609311,1567;4014858845,2415;4507355843,07487;4059172060,16305;4861771447,25608;5402302373,94169;5724692812,16292;5981008067,33647;6254467340,29013;6508138300,01081;6334506673,99442;6565780777,47117;7072177078,8983;7671807091,50049;8143295167,51451;9078611383,917;9944839715,14883;11018968762,2452;12026045326,0274;12826820020,4297;13369216024,7157
"Malaysia";;;;;;;;;;;;;;;;;;;;31009168389,3401;36310269550,4308;40335003620,4417;43761785687,4008;48699253209,7469;49430718201,1962;51356862255,8789;55987645138,4777;64128627577,1584;72489424601,1423;83196403678,871;93468242050,5458;103608698049,553;116987789633,967;130345612203,519;146719318521,596;164275587341,126;178373708619,54;167475759482,007;177163888607,049;194857074727,04;202146218583,015;218202219546,906;238615561897,716;262613761766,402;287500409407,5;319308190364,478;352860740981,369;374431400669,471;375868097560,194;402101107862,199;438252051390,598
"Maldives";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;620930900,192201;690381297,765022;772476711,207153;861715176,380458;937029219,575668;1007831885,14763;1066286066,70252;1149061253,45741;1362586572,647;1544633360,32176;1487787903,64642;1836863887,00755;2090091720,64398;2400953653,13381;2317220430,82295;2475261351,7755;2732685061,26163
"Mali";;;;;;;;;;;;;;;;;;;;2566868878,50778;2648052466,11453;2689504810,52998;2920484158,13212;3184568903,00627;2899550546,55032;3231194414,88793;3322758310,17519;3478780624,53755;;4138501052,51761;4372131114,3229;4829222081,66343;4845863205,69094;4919817420,22378;5314240946,62192;5583334095,12616;6060633175,46522;6529323641,33464;7087142269,18657;7509708517,33806;8167121484,23766;8564037971,92198;9751534186,81544;10209070991,9027;11201466040,2921;11929611319,9288;13597001646,5579;14070449543,2748;14625699053,0313;15759774616,6876;16566025537,6737
"Malta";;;;;;;;;;;;;;;;;;;;1885962828,42197;2163768253,50333;2387020594,26324;2401193131,91898;2550378748,46264;2654154250,83681;2749400340,48169;2949132076,92896;3280117567,07435;3705302061,32599;4171267946,3719;4526035763,76151;4774872802,50999;5049920569,7378;5344562817,21116;5768792131,63509;5481608194,0628;5861599281,84135;6042453853,94918;6524164761,92234;7080641073,08916;7241902257,65683;7702365923,707;7807526852,71578;7902810978,53946;8104080977,03438;8700362032,01815;9238323735,15373;10026955208,4467;9714785123,25236;10054956345,8879;
"Marshall Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Martinique";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mauritania";;;;;;;;;;;;;;;;;;;;1371687729,8942;1504105522,52115;1569740550,34042;1659955733,94679;1712350318,84951;1773518673,1025;1894270503,54223;1991415600,53499;2119860566,91122;2338950950,37099;2393528881,28283;2560501296,48771;2663726056,65572;2853750279,56492;2858577493,83831;3229167823,64086;3643835350,8711;3554012755,12106;3785949815,80494;4144151047,41096;4185040342,78686;4223189686,65415;4852980759,18571;4971278608,30198;5398795924,56913;6041944267,84087;7015726749,28774;7508787010,19114;8034050096,99882;8089658990,83014;8301115328,24845;8548791742,51102
"Mauritius";;;;;;;;;;;;;;;;;;;;1684787321,91187;1912414110,48367;2134896570,10818;2238222267,9788;2417318833,96202;2668466753,89594;3009835074,897;3425786723,98316;3790972611,59572;4157657981,24172;4627679457,84574;5050535175,62413;5500540692,76614;5893182358,75372;6211679401,5954;6643452125,05456;7101481561,70438;7694279671,97824;8258169587,03418;8605561716,81174;9575595969,99858;10140585832,6047;10520924290,8516;11045500238,0304;12045965590,3332;12612067196,6937;13657590603,2302;15187334630,2845;16041554569,9963;16502663087,3644;17675940433,0857;18983704423,5081
"Mayotte";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mexico";;;;;;;;;;;;;;;;;;;;257581892028,608;304137893681,149;310357541395,111;311863392299,554;336611171821,887;359763655845,957;350535531579,76;371255822385,489;418506897234,259;453689972910,404;497378573681,913;539781946587,075;573233937065,29;596042208927,404;635168527281,644;598395468933,069;644179662380,709;707187949612,434;750657845759,29;794832795229,028;878098259030,907;900336374402,732;937620218882,044;1089076335174,92;1171560096708,11;1274145083945,81;1416014648245,03;1506298062379,47;1606228288601,53;1522976827597,39;1632396497653,69;1728264552369,1
"Micronesia, Fed. Sts.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;262434601,777893;267298106,512573;279995753,682103;275312774,330813;255080496,595028;263312829,562725;277955273,796234;296476119,545654;306622601,485348;312462918,154342;323965412,34411;326634903,13843;350507308,659882;366256372,048623;371569715,835496;363294027,593173;376798922,542074;385945438,563012;402610283,721519
"Moldova";;;;;;;;;;;;;;;;;;;;;;;;;;;;;12076597715,9026;12233781583,2008;10625604683,8385;7692235181,09372;7767202992,94518;5424483564,17244;5433501230,47182;5503674405,4566;5655686246,88029;5343874630,59872;5237670309,82442;5440566619,78371;6181844703,41742;6780612486,41921;7741427999,53777;8635605262,72462;9511348244,02933;10264695905,8338;10662600510,374;11790539321,5619;10762099324,9218;11991587548,5086;13051485802,1062
"Monaco";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mongolia";;;;;;;;;;;;;;;;;;;;;1801237222,72421;2063588698,22676;2262546074,39257;2468765258,04645;2684029260,83447;3062565675,89524;3251031394,18227;3511485789,87888;3528322222,84609;3789915299,87494;3632497286,65004;3303792577,66109;3220406019,57667;3405077098,78461;3715962474,78258;3896973857,84144;4129017438,27793;4372825183,09028;4571981666,92098;4702389511,37636;4965857743,78736;5276675910,25668;5742167916,15196;6541795374,56559;7140057322,51998;8066590478,2004;9053449318,58052;9997021861,76866;9852566683,45251;10073281578,6895;12209203153,2367
"Montenegro";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4188674546,75648;4328694983,00499;4507558095,24306;4728115735,84903;5043836748,96018;5213070957,17296;6583824194,28934;7791803272,04946;8716263034,03612;8112614398,29844;8075053177,95023;8673798046,22826
"Montserrat";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Morocco";;;;;;;;;;;;;;;;;;;;21489087101,633;22675563006,8684;26675759217,9218;27225716258,6887;29264634062,8682;31577637998,2632;35304375257,2379;35386448953,5298;40449666738,3209;42222365660,4433;46664551241,5736;51476260357,8187;50595576248,0696;50760739202,0459;57547974475,8103;54933023956,9303;63012219267,5447;62831575878,9085;69298840618,3046;70703199999,1902;73299266743,8754;80629607724,7062;84837230848,4651;92387087590,4475;99905551343,3142;106783802790,351;118612351715,752;125507003632,027;134965253634,337;141480359708,742;148640440398,596;161175851407,637
"Mozambique";;;;;;;;;;;;;;;;;;;;2538275968,16943;2894867761,73721;2843837166,5501;2480860721,8829;2395672273,06459;2473087860,11729;2442000923,61953;2769651636,08602;3155935156,35708;3399118528,15455;3646467638,30904;3960334785,89435;3710316919,53336;4142047077,17235;4479760913,46898;4761506384,71235;5354200050,02127;6048355419,87734;6780152671,75465;7461583405,10481;7644186507,67852;8560159876,15453;9809045556,49231;10606043859,9346;11638509267,3947;13145354402,6835;13919902482,5703;15620673466,5701;17228590325,5118;19272327889,9593;21167475355,4474;23441711611,5098
"Myanmar";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Namibia";;;;;;;;;;;;;;;;;;;;1998047849,53425;2462444543,22369;2538484391,23392;2698497683,75315;2717380579,37357;2410156588,41566;2734075336,21657;3280876536,33273;3178548888,84936;3600159531,95894;4139072183,29701;4733599551,02883;5016936574,7383;5092579542,77724;5555044323,41772;6087177218,24482;6245262881,58888;6618633883,12177;6983643578,62038;7104459123,89828;7614089511,68275;7809818398,86694;8402890874,8565;9265770061,72728;10349851799,4177;10659358093,4877;11889033046,8448;12715470096,7633;13372391511,9815;13669962328,0562;14308907975,4565;15343176817,0974
"Nauru";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nepal";;;;;;;;;;;;;;;;;;;;4095753611,85828;4843660806,84548;5336875545,40553;5384169288,36279;6190854246,94207;6666611516,57159;7126394261,35438;7457214500,52248;8305713993,04516;9016840137,73292;9808417696,06187;10784546388,2174;11471562725,3455;12152971984,8033;13430453271,8043;14195267556,1305;15223733748,1721;16298018824,787;17022691072,0742;18052162189,1379;19610758859,7599;21022411601,0845;21279337777,939;22583463940,1869;24262672621,5634;26094088696,3037;27975430689,0215;29846364242,2092;32353674130,863;34252593852,126;36163479694,7617;38512780350,0712
"Netherlands";;;;;;;;;;;;;;;;;;;;140944617611,276;151756932472,747;158987423059,208;169580594193,02;181938564015,908;189839437349,291;199720298624,36;211997392034,516;225999079185,147;245460773230,236;261798453173,996;278874631483,697;289216055228,611;301441961232,322;318991043416,046;338456645105,567;355014620135,033;381367985129,323;396107486414,046;430414795996,225;478443071617,787;497572742634,48;520508143708,18;520194995563,415;554775768746,388;575665753340,089;639123032887,226;678256726318,424;690770071824,713;662098148775,516;695010604753,669;722330334029,738
"Netherlands Antilles";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"New Caledonia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"New Zealand";;;;;;;;;;;;;;;;;;;;25976645317,7963;29300507362,5502;32292375301,1056;34107843608,1008;36632934723,5914;37821381490,5584;39820226019,2304;41024620925,4247;43423327818,7777;45320836291,9671;47173258075,6871;47054999275,8763;49181740029,81;52427367005,1925;56928846444,2428;60700650741,2392;62660632223,6202;66511944015,8125;68943196309,051;72841271381,3726;76634673730,762;81389206240,3268;85824324256,8102;90198347786,5108;94758179744,2894;97766735310,0974;105618880654,5;112277327188,431;115639570007,798;122031644272,863;126550035998,735;
"Ngorno-Karabakh";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nicaragua";;;;;;;;;;;;;;;;;;;;4006245806,51361;4544104833,7137;4824105121,1554;5245204983,96376;5398871156,99978;5309370911,92009;5601426333,84025;5825940744,77782;4566475962,40503;4278813133,87533;5492667808,89443;4508616016,55487;4296959886,33781;4558628921,50411;5357813678,75081;6104898913,73862;6745028061,9325;7301696668,53394;7898736640,58109;8571942415,63429;9129343609,3632;9538714940,75023;9857991905,6224;10335163827,2005;11252637391,7541;12278897045,8316;13285959631,7996;14180737410,9088;14872418874,3652;14560112539,8337;15386504122,471;16677540420,3517
"Niger";;;;;;;;;;;;;;;;;;;;2602999132,9374;2809619977,67298;3017988066,19286;3028447582,60621;2574331406,6268;2881193594,14591;3198077196,82828;3233134662,66424;3604292944,25265;3883611991,27824;3855614452,63894;4111119428,18656;3940767315,29108;4077672842,29102;4306430650,35856;4488007281,70678;4785265332,5031;5005039292,51727;5628517385,39733;5687725518,2782;5732433853,14858;6288345191,72334;6559158967,82006;7095991888,08483;7306545045,14174;7904298850,27311;8654211401,5782;9206984687,45716;10194137325,6748;10178727354,4043;11127240816,9291;11642451212,7818
"Nigeria";;;;;;;;;;;;;;;;;;;;56460226916,1966;54914450361,1551;58398106123,9045;57621558148,2111;56413556649,7747;63240908321,8987;63912995762,4298;63096021744,6523;78136568659,9448;81124021604,1666;89711397021,7758;98413804997,4499;103391494598,824;105642321751,38;109166363931,419;117098304238,332;126428717318,997;132553887125,179;133117028139,926;143367091357,986;141138370589,005;156200078220,107;156429031103,468;175198661432,16;199755152795,549;215508778654,925;257979315877,536;272779302241,114;299179197432,343;314444648957,317;339572253074,326;374124177032,429
"Niue";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Norfolk Island";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Northern Cyprus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Northern Mariana Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Norway";;;;;;;;;;;;;;;;;;;;37928136593,4589;42157558024,0169;44704066214,0176;48398142126,5506;53327951492,5049;58426196309,3641;62252282383,6997;65319923530,7269;66755000409,702;69795497523,3537;73766769243,1796;78468505518,065;84090693495,5289;88188424247,5355;95160460154,0853;101680075661,82;112901402030,868;121975883803,627;120177887319,49;131852845804,775;160100240391,673;167513534834,371;168694748702,587;175754807015,648;195394884541,989;221701992692,601;251154042291,901;262116239831,817;291142390350,579;265610284802,296;283293670369,275;311812595592,046
"Oman";;;;;;;;;;;;;;;;;;;;5299971376,59874;6856239663,75071;8221540879,03704;9942011829,61842;12023063570,8832;14007981419,9999;14952660989,7558;14835217286,2805;15838391065,953;18573468417,7831;19264301683,3407;21348045980,3195;23251295064,7211;25221517030,0755;26689352653,3578;28785671402,2862;30091628817,482;32452789279,1922;33432667135,7915;33900247195,8611;36707036473,0145;40449243278,6378;41603817629,4154;43643722164,891;46838969795,8545;49443862505,9544;54680359260,9198;60025028707,4115;67344120455,4239;67449441727,5636;71695822351,4629;
"Pakistan";;;;;;;;;;;;;;;;;;;;50835918698,2953;60053208072,171;67665850215,3959;77194347604,7376;83102854400,4143;91033133878,5448;93354269306,6667;105835910033,971;115604593885,384;125097648516,446;136511712598,069;145509479146,766;157973303001,855;163797846089,639;172533072241,851;186227204527,766;196562108159,401;201449062063,141;209249980479,211;220179229019,498;233617638225,541;243549893177,618;260210851444,322;285723570776,464;312628312125,388;347301061669,569;380270124258,148;412928478271,996;429731310339,744;452922389758,9;482214576162,731;509614517664,986
"Palau";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;168986827,922115;161344010,989616;150270338,191008;157489752,463516;184475599,684243;208328489,076495;217059074,446242;217587484,553494;217188102,228186;223319534,776346;231821736,42467;226822659,183571;226556757,523084;246400709,130951;264584151,778998;277012192,176005;290945629,506216;230915366,026932;212555060,737335;224177459,355767;254198286,827949
"Panama";;;;;;;;;;;;;;;;;;;;5445917021,67909;6387525510,00757;7547880880,96165;7891205703,82542;8048883304,22114;9003238665,53942;9089398765,85859;10252422234,9659;8775937011,92246;8928914253,44266;10072378019,746;11199535567,0054;12460949260,0569;13695431177,2183;14534600787,4208;14876636897,5966;15762622669,3045;16984116081,9153;18349140244,2191;19096549827,9278;20200099878,1317;20815649587,4075;22323550977,6194;22855495460,7897;24832691963,0024;27525045453,4287;30813175816,4162;35831834570,4477;40233184579,331;42303036316,9737;45902376170,1368;52650320001,2951
"Papua New Guinea";;;;;;;;;;;;;;;;;;;;2888863913,07716;3114024372,25601;3262337964,46847;3481091042,09466;3690272569,71606;3935279707,36441;4249517286,75488;4413388814,08253;4735428881,17411;4847754592,49526;4877166477,27069;5556678179,36846;6069596221,27728;7363219073,52035;8077502591,09759;8131865596,85599;8612952203,93422;8657129318,80686;8406748455,50084;8576921458,36048;8729866880,63364;8737261367,77888;8919693224,14566;8905231863,63305;9630478707,80226;10513301411,2863;10608589181,2367;13143284284,2253;14346561059,974;15332484952,2232;16490369353,6354;18155093724,444
"Paraguay";;;;;;;;;;;;;;;;;;;;6229746160,10655;7416538426,09745;7568217047,31806;7643528967,3272;8052813751,10736;8567542113,28181;8739949455,49673;9235339122,32969;10422466081,1086;11702531156,7184;12547542683,3327;12797806753,222;13641558451,3655;14702765627,4065;15689310586,6635;16883046561,0207;17233223962,3515;17933689964,2798;18236612434,1;18261739552,2997;18044493084,0057;18821086652,2306;19232467798,0352;20189483550,8653;21218662232,8067;22828123246,1767;24534482425,7043;26876227559,7739;29025458965,4349;27883705431,1079;32627242984,0753;34861421732,5965
"Peru";;;;;;;;;;;;;;;;;;;;47872051654,2354;56468499305,2092;59473891546,5601;53522198233,8054;57982166758,0894;61674272889,8257;70561185786,4022;78644740717,8431;69079009088,4674;61151248197,1748;68021769416,7748;69251723370,4784;72877804114,4974;76735556900,654;88785987131,9645;98278694599,3252;103890813497,24;113561338176,64;115607025053,153;118292455232,242;123802824279,439;127416570138,993;135532083120,489;142297121945,868;150735078946,221;166227421758,572;190029140241,155;214742994925,975;235694628951,38;241457005277,392;271018267321,287;298599049689,163
"Philippines";;;;;;;;;;;;;;;;;;;;62664699137,6368;70793865599,9058;76772911065,4218;81493680311,4578;76664686445,4712;73549204853,0663;77651141917,0864;84021897861,7033;93280661012,1695;102486662203,685;111663823658,237;116216408678,26;120935817997,178;126943337930,42;136789655107,395;146886486516,972;159480992469,794;173818636638,242;180080885542,026;171215245643,225;184934755439,693;194527309011,487;203963165373,608;219020704449,34;240889313513,241;260232716839,723;280606045850,979;309183470144,852;331337560125,515;338113659232,393;369113407553,831;394937769571,383
"Pitcairn";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Poland";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;211638905940,069;219786050383,236;234634515094,267;260335943951,427;282547473044,264;309096632909,639;337414619905,62;360130648984,562;380393679678,327;402910357988,525;417760262838,183;440566992606,738;453355505010,628;483009780775,063;514253227303,224;558608640510,926;614306471606,429;670632684216,863;694646433816,176;732811618268,258;782618019447,198
"Portugal";;;;;;;;;;;;;;;;;;;;51490164149,32;56317089817,7971;60015251499,1658;62522119895,7227;63006349590,0271;67282466204,4156;73160844448,7085;80976118837,1114;90747088571,4009;100760561414,053;109524158943,398;118622985785,203;123336044930,839;123570721625,547;126832081851,812;135666426725,245;141210815247,067;149717288162,728;158139495199,141;168636097263,85;178224566627,602;185631089207,929;195341459407,705;201180208517,214;206282914931,656;222086499244,655;235754358029,309;248584235529,641;255442858051,238;254351055985,476;261846750161,501;260363514747,822
"Puerto Rico";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Qatar";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86216212093,0203;103619879051,494;114987281105,909;134499723895,798;162744911649,596
"Reunion";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Romania";;;;;;;;;;;;;;;;;;;;;;;;;;;;;123387617972,341;120221471617,112;108725154886,442;100785639752,855;104351075552,537;110837806204,497;121231318900,739;128513424230,601;123138552789,914;118966701956,295;118626279049,27;126107577610,425;141012031922,624;151375253058,028;164956799464,131;185363341184,271;200671970186,193;234875638784,3;273077236924,716;314325468612,803;314233354545,423;306521157300,856;323881732628,769
"Russia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;1180577436181,23;1186007286909,91;1163560520736,34;1008260474066,11;940600257541,762;843853622497,262;824490060168,199;805569754179,775;824785948195,434;771734928085,605;836377744151,28;973727861357,129;1059524738505,19;1144425550264,66;1297234744324,08;1442678076518,02;1654480751295,88;2066639467096,78;2322957032629,42;2817892181858,67;2592689603436,98;2722795060503,88;2830508925414,18
"Rwanda";;;;;;;;;;;;;;;;;;;;2018634606,15502;2339505334,12755;2530378104,60469;2773732493,41876;2750286890,43884;2942192546,7133;3171012716,2824;3259393328,25277;3527779692,00554;3665326088,15049;3710917943,67912;3736524502,98273;4042126734,84557;3785661671,558;1926440883,34792;2691110846,74371;3043878193,15269;3536460134,94408;3925740704,87122;4274295074,80892;4706642903,75841;5198157261,47597;5874672678,97943;6099748702,92796;6736623494,52586;7652284823,74579;8637480869,20378;9420301078,73455;10676511102,5233;11237396720,3252;12174895383,5605;13568517096,7563
"St. Barthlemy";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"St. Helena";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
